polygon_id,points
0,"293,797 293,803 281,815 244,840 203,874 160,896 134,917 51,973 26,984 11,996 4,996 4,1023 44,1023 52,1015 73,1006 212,913 242,887 291,859 304,847 319,843 330,833 335,833 335,828 328,828 319,817 311,804 311,797 293,797"
1,"234,228 234,260 241,260 244,264 263,316 264,326 276,349 304,430 308,432 309,441 327,479 338,515 347,515 350,504 358,499 366,488 348,446 342,420 303,331 302,322 271,241 270,228 234,228"
2,"400,221 400,246 406,246 412,255 464,382 477,407 484,412 510,391 510,376 500,361 499,352 467,284 460,276 459,269 455,267 454,258 439,230 439,221 400,221"
3,"303,708 303,721 300,726 274,749 262,767 240,784 230,796 199,816 166,844 140,858 83,901 64,909 38,927 24,930 12,917 4,917 4,995 9,995 31,980 52,971 106,932 147,907 160,895 195,878 237,844 275,819 293,799 311,795 323,782 327,770 339,758 339,738 331,722 324,715 324,708 303,708"
4,"524,842 524,849 516,852 516,857 521,857 527,864 540,896 541,907 548,917 560,953 564,957 565,966 572,976 573,985 591,1013 594,1023 633,1023 595,922 588,913 587,904 575,883 564,854 563,842 524,842"
5,"652,804 652,811 644,813 644,819 652,821 664,867 668,871 680,910 687,920 688,931 692,935 701,966 708,976 712,996 720,1015 724,1023 761,1023 758,1000 751,988 747,970 743,966 731,928 716,897 715,887 711,883 707,866 692,833 691,824 687,819 686,804 652,804"
6,"266,228 266,249 273,249 276,253 285,283 290,290 298,316 303,322 304,332 308,336 320,371 346,426 349,446 365,482 365,489 374,489 375,482 395,463 395,458 385,446 379,418 374,414 366,391 359,382 353,360 340,334 339,322 335,318 326,284 321,278 307,228 266,228"
7,"623,816 623,822 622,823 621,823 620,824 620,825 619,826 612,826 612,843 617,843 618,844 619,844 620,845 620,849 621,850 621,854 622,854 623,855 623,859 624,860 624,863 625,863 626,864 626,867 627,867 628,868 628,871 629,872 629,876 630,876 631,877 631,881 632,882 632,884 633,884 634,885 634,887 635,887 636,888 636,892 637,893 637,895 638,895 639,896 639,900 640,901 640,903 641,903 642,904 642,907 643,907 645,909 645,911 646,911 647,912 647,915 648,916 648,919 649,919 650,920 650,923 651,923 652,924 652,929 653,930 653,934 654,934 655,935 655,937 656,938 656,942 657,942 658,943 658,945 659,945 660,946 660,948 661,949 661,950 662,950 663,951 663,956 664,957 664,961 665,961 666,962 666,966 667,966 668,967 668,969 669,970 669,972 670,972 671,973 671,979 672,980 672,987 673,987 674,988 674,991 675,991 676,992 676,996 677,997 677,1001 678,1001 679,1002 679,1004 680,1005 680,1006 681,1006 682,1007 682,1009 683,1009 684,1010 684,1012 685,1013 685,1015 686,1015 687,1016 687,1017 688,1018 688,1019 689,1019 690,1020 690,1023 726,1023 726,1021 725,1021 724,1020 724,1018 723,1017 723,1015 722,1015 721,1014 721,1012 720,1012 719,1011 719,1007 718,1006 718,1005 717,1005 716,1004 716,1000 715,999 715,996 714,996 713,995 713,989 712,989 711,988 711,986 710,985 710,981 709,981 708,980 708,976 707,975 707,972 706,972 705,971 705,968 704,968 703,967 703,964 702,963 702,959 701,959 700,958 700,956 699,955 699,952 698,952 697,951 697,948 696,948 695,947 695,944 694,943 694,938 693,938 692,937 692,935 691,934 691,930 690,930 689,929 689,925 688,925 687,924 687,919 686,918 686,916 685,916 684,915 684,912 683,911 683,909 682,909 681,908 681,906 680,906 679,905 679,904 678,903 678,900 677,900 676,899 676,896 675,895 675,890 674,890 673,889 673,887 672,887 671,886 671,882 670,881 670,877 669,877 668,876 668,872 667,871 667,868 666,868 665,867 665,864 664,864 663,863 663,858 662,857 662,855 661,855 660,854 660,850 659,849 659,847 658,847 657,846 657,840 656,840 655,839 655,836 654,835 654,832 653,832 652,831 652,824 651,823 651,816 623,816"
8,"362,263 367,263 372,269 376,284 392,318 396,320 416,369 428,386 445,429 445,438 459,438 459,432 478,419 479,407 471,398 457,369 451,349 433,315 419,276 399,238 398,228 362,228 362,263"
9,"304,221 304,247 310,247 314,253 320,275 327,287 328,297 335,308 344,342 354,359 392,455 396,460 403,460 416,447 423,444 427,439 427,431 415,406 411,384 399,359 390,328 383,318 363,266 359,262 358,252 348,230 348,221 304,221"
10,"588,829 588,835 580,837 580,875 588,877 594,890 608,935 618,954 640,1015 645,1023 691,1023 679,1003 675,983 663,961 662,949 655,939 649,917 631,881 630,869 620,846 617,829 588,829"
11,"960,260 959,268 944,279 937,292 924,303 917,304 908,316 887,328 881,341 866,343 853,356 855,380 832,397 827,404 792,428 775,449 748,474 741,477 729,492 710,500 682,503 682,543 688,544 693,556 698,560 698,566 707,566 707,560 718,553 728,540 761,515 800,479 851,443 856,436 931,379 1010,311 1023,305 1023,260 960,260"
12,"498,848 497,855 484,856 484,881 492,884 541,1014 546,1023 591,1023 590,1013 580,999 579,992 548,929 547,919 540,907 539,896 527,871 521,848 498,848"
13,"978,240 978,247 974,252 913,300 904,304 862,340 829,360 827,364 802,376 790,388 768,400 708,452 702,456 695,456 695,465 700,465 708,472 712,491 719,495 731,492 771,459 800,430 862,390 938,327 958,315 986,289 1005,276 1014,275 1014,240 978,240"
14,"514,452 514,459 510,463 503,463 503,467 510,467 517,474 528,515 540,536 552,579 556,583 560,599 564,602 573,633 591,671 600,703 616,742 630,745 646,739 651,734 651,720 639,691 630,653 601,590 595,567 583,547 571,512 556,483 547,452 514,452"
