polygon_id,point_index,geocoordinate,avg_width
0,0,"(9.929213, 53.562942)",36.04383148936465
0,1,"(9.929228, 53.562984)",36.04383148936465
0,2,"(9.929243, 53.563027)",36.04383148936465
0,3,"(9.929256, 53.563070)",36.04383148936465
0,4,"(9.929268, 53.563113)",36.04383148936465
0,5,"(9.929279, 53.563156)",36.04383148936465
0,6,"(9.929289, 53.563199)",36.04383148936465
0,7,"(9.929298, 53.563243)",36.04383148936465
0,8,"(9.929306, 53.563286)",36.04383148936465
0,9,"(9.929314, 53.563329)",36.04383148936465
1,0,"(9.929408, 53.563319)",31.760984246096157
1,1,"(9.929389, 53.563278)",31.760984246096157
1,2,"(9.929374, 53.563237)",31.760984246096157
1,3,"(9.929365, 53.563195)",31.760984246096157
1,4,"(9.929359, 53.563153)",31.760984246096157
1,5,"(9.929353, 53.563111)",31.760984246096157
1,6,"(9.929346, 53.563069)",31.760984246096157
1,7,"(9.929335, 53.563027)",31.760984246096157
1,8,"(9.929319, 53.562986)",31.760984246096157
1,9,"(9.929298, 53.562946)",31.760984246096157
2,0,"(9.929325, 53.562941)",37.43478517936286
2,1,"(9.929328, 53.562984)",37.43478517936286
2,2,"(9.929333, 53.563026)",37.43478517936286
2,3,"(9.929339, 53.563069)",37.43478517936286
2,4,"(9.929346, 53.563112)",37.43478517936286
2,5,"(9.929355, 53.563154)",37.43478517936286
2,6,"(9.929365, 53.563197)",37.43478517936286
2,7,"(9.929376, 53.563239)",37.43478517936286
2,8,"(9.929389, 53.563281)",37.43478517936286
2,9,"(9.929402, 53.563323)",37.43478517936286
3,0,"(9.928092, 53.563555)",17.702243810048824
3,1,"(9.928209, 53.563546)",17.702243810048824
3,2,"(9.928326, 53.563538)",17.702243810048824
3,3,"(9.928443, 53.563530)",17.702243810048824
3,4,"(9.928560, 53.563523)",17.702243810048824
3,5,"(9.928677, 53.563517)",17.702243810048824
3,6,"(9.928794, 53.563512)",17.702243810048824
3,7,"(9.928912, 53.563508)",17.702243810048824
3,8,"(9.929029, 53.563505)",17.702243810048824
3,9,"(9.929147, 53.563503)",17.702243810048824
4,0,"(9.929602, 53.563432)",21.971282206267734
4,1,"(9.929690, 53.563432)",21.971282206267734
4,2,"(9.929779, 53.563431)",21.971282206267734
4,3,"(9.929867, 53.563428)",21.971282206267734
4,4,"(9.929956, 53.563425)",21.971282206267734
4,5,"(9.930044, 53.563422)",21.971282206267734
4,6,"(9.930132, 53.563419)",21.971282206267734
4,7,"(9.930221, 53.563416)",21.971282206267734
4,8,"(9.930309, 53.563414)",21.971282206267734
4,9,"(9.930398, 53.563412)",21.971282206267734
5,0,"(9.929651, 53.563488)",18.66106641691567
5,1,"(9.929734, 53.563488)",18.66106641691567
5,2,"(9.929817, 53.563487)",18.66106641691567
5,3,"(9.929900, 53.563486)",18.66106641691567
5,4,"(9.929983, 53.563483)",18.66106641691567
5,5,"(9.930066, 53.563481)",18.66106641691567
5,6,"(9.930148, 53.563478)",18.66106641691567
5,7,"(9.930231, 53.563475)",18.66106641691567
5,8,"(9.930314, 53.563472)",18.66106641691567
5,9,"(9.930397, 53.563469)",18.66106641691567
8,0,"(9.929621, 53.563464)",21.105273943211746
8,1,"(9.929708, 53.563461)",21.105273943211746
