polygon_id,points
0,"714,388 711,396 688,400 686,404 639,424 619,439 575,464 563,476 547,482 525,485 499,503 490,504 490,574 503,574 531,561 544,551 551,550 569,539 576,532 582,531 584,527 665,483 680,471 691,467 693,463 700,462 732,443 739,443 739,429 733,429 727,422 719,403 719,388 714,388"
1,"196,36 196,43 204,45 210,64 216,100 239,172 245,215 252,232 264,289 271,304 272,318 285,343 288,379 295,397 300,431 318,431 319,423 372,382 372,373 356,356 332,313 319,287 307,248 303,246 299,231 295,227 294,216 284,195 275,159 268,145 259,103 252,87 251,74 244,54 243,36 196,36"
2,"700,330 700,335 695,340 687,341 678,348 637,365 563,404 554,405 531,418 522,418 522,447 527,447 532,452 541,475 546,479 558,478 575,465 612,446 642,423 660,419 669,412 678,411 696,401 715,396 719,391 726,391 726,372 719,371 715,359 707,348 707,330 700,330"
3,"392,804 391,811 383,816 380,823 375,823 375,828 380,828 383,832 389,867 396,884 400,923 404,930 408,956 412,960 415,972 418,1001 471,1001 473,981 467,954 463,948 443,847 436,827 435,804 392,804"
4,"164,42 164,97 169,97 172,101 173,115 183,144 196,204 194,267 197,283 207,309 210,334 220,364 232,428 239,439 239,444 247,444 247,439 252,436 265,435 276,428 287,427 297,422 299,407 287,379 283,349 271,318 260,281 259,268 247,233 238,184 228,153 227,135 215,102 203,42 164,42"
5,"356,791 353,799 335,810 330,810 330,886 338,888 344,932 367,1023 411,1023 417,1014 419,997 411,957 407,951 406,933 399,913 395,882 379,830 380,791 356,791"
6,"199,612 199,617 190,628 173,639 163,652 136,672 78,727 48,749 11,783 4,783 4,835 11,835 15,840 18,860 28,860 31,848 91,798 149,737 157,732 169,731 202,695 220,683 224,675 235,670 222,612 199,612"
7,"156,732 155,733 154,733 154,734 153,735 152,735 151,736 151,737 150,738 149,738 149,739 147,741 146,741 146,742 145,743 144,743 143,744 143,745 142,746 141,746 141,747 139,749 138,749 138,750 137,751 136,751 135,752 133,752 133,753 132,754 132,755 131,756 130,756 129,757 128,757 128,758 126,760 125,760 125,761 124,762 124,763 123,764 120,764 120,766 118,768 117,768 117,769 116,770 116,771 115,772 114,772 113,773 112,773 112,774 110,776 109,776 109,777 108,778 108,779 107,780 106,780 105,781 104,781 104,782 102,784 100,784 100,785 99,786 98,786 98,787 97,788 96,788 96,790 94,792 93,792 93,793 92,794 92,795 91,796 90,796 89,797 87,797 87,798 86,799 85,799 84,800 84,801 83,802 82,802 82,804 81,805 80,805 80,806 79,807 77,807 76,808 76,809 75,810 72,810 72,811 70,813 69,813 69,814 67,816 66,816 66,817 65,818 64,818 64,819 62,821 60,821 60,822 59,823 58,823 57,824 56,824 56,825 55,826 55,827 54,828 53,828 52,829 50,829 50,830 49,831 48,831 47,832 45,832 45,833 44,834 42,834 42,835 41,836 40,836 39,837 39,838 38,839 37,839 36,840 36,841 35,842 34,842 34,843 33,844 32,844 31,845 31,846 30,847 29,847 28,848 28,852 27,853 26,853 26,857 27,857 28,858 28,859 29,860 30,860 31,861 31,862 32,863 32,865 33,865 34,866 34,881 33,882 32,882 32,886 31,887 31,892 32,893 32,895 33,895 34,896 34,902 35,902 36,903 36,911 47,911 47,904 48,903 51,903 52,902 52,901 53,900 54,900 55,899 55,898 56,897 59,897 59,896 61,894 62,894 62,893 63,892 65,892 66,891 67,891 67,890 68,889 68,888 69,887 70,887 71,886 73,886 73,885 74,884 75,884 76,883 76,882 77,881 78,881 78,880 80,878 83,878 83,877 85,875 86,875 86,874 87,873 87,872 88,871 91,871 92,870 92,869 93,868 94,868 95,867 95,866 96,865 97,865 97,864 98,863 99,863 100,862 100,861 101,860 103,860 104,859 105,859 105,858 106,857 107,857 107,856 109,854 110,854 110,853 111,852 113,852 114,851 115,851 115,850 116,849 116,848 117,847 118,847 119,846 119,845 120,844 121,844 122,843 123,843 123,842 124,841 124,840 125,839 127,839 128,838 129,838 129,837 130,836 131,836 132,835 132,834 133,833 135,833 135,832 136,831 137,831 138,830 139,830 139,829 141,827 142,827 142,826 143,825 143,824 144,823 145,823 146,822 147,822 147,821 148,820 150,820 151,819 151,818 152,817 153,817 153,816 154,815 155,815 156,814 158,814 158,813 160,811 161,811 161,810 162,809 163,809 163,808 165,806 167,806 167,805 168,804 169,804 170,803 171,803 171,802 172,801 172,800 173,799 174,799 175,798 175,797 176,796 179,796 180,795 180,794 181,793 183,793 183,792 184,791 185,791 186,790 187,790 187,789 189,787 191,787 191,786 192,785 193,785 193,784 194,783 195,783 196,782 196,781 197,780 198,780 199,779 199,773 200,772 199,771 199,770 198,769 198,768 197,768 195,766 195,765 194,765 193,764 192,764 191,763 191,762 190,761 190,760 189,760 187,758 187,757 186,757 185,756 184,756 183,755 183,754 182,753 182,751 181,751 180,750 180,749 179,748 178,748 177,747 177,744 176,744 174,742 174,741 173,741 172,740 172,738 171,737 171,733 170,733 169,732 169,727 156,727 156,732"
8,"693,292 691,300 656,312 556,364 517,378 503,389 496,389 496,412 503,412 514,423 523,423 528,417 550,411 560,404 603,387 610,380 642,364 671,364 676,374 685,381 684,395 687,396 694,395 703,388 713,387 713,320 697,318 695,309 700,307 700,300 697,292 693,292"
