polygon_id,point_index,geocoordinate
1,0,"(9.893111, 53.573442)"
1,1,"(9.893147, 53.573422)"
1,2,"(9.893184, 53.573402)"
1,3,"(9.893220, 53.573381)"
1,4,"(9.893257, 53.573361)"
1,5,"(9.893294, 53.573341)"
1,6,"(9.893330, 53.573321)"
1,7,"(9.893367, 53.573301)"
1,8,"(9.893403, 53.573281)"
1,9,"(9.893445, 53.573264)"
2,0,"(9.893227, 53.573540)"
2,1,"(9.893271, 53.573518)"
2,2,"(9.893317, 53.573497)"
2,3,"(9.893361, 53.573475)"
2,4,"(9.893404, 53.573453)"
2,5,"(9.893448, 53.573430)"
2,6,"(9.893492, 53.573408)"
2,7,"(9.893536, 53.573386)"
2,8,"(9.893579, 53.573364)"
2,9,"(9.893626, 53.573344)"
3,0,"(9.893406, 53.573240)"
3,1,"(9.893366, 53.573256)"
3,2,"(9.893332, 53.573277)"
3,3,"(9.893298, 53.573297)"
3,4,"(9.893264, 53.573318)"
3,5,"(9.893228, 53.573337)"
3,6,"(9.893191, 53.573355)"
3,7,"(9.893153, 53.573373)"
3,8,"(9.893114, 53.573390)"
3,9,"(9.893073, 53.573406)"
4,0,"(9.894521, 53.573176)"
4,1,"(9.894458, 53.573178)"
4,2,"(9.894395, 53.573181)"
4,3,"(9.894332, 53.573186)"
4,4,"(9.894269, 53.573191)"
4,5,"(9.894206, 53.573197)"
4,6,"(9.894143, 53.573202)"
4,7,"(9.894080, 53.573206)"
4,8,"(9.894017, 53.573209)"
4,9,"(9.893955, 53.573218)"
6,0,"(9.894009, 53.573180)"
6,1,"(9.894054, 53.573166)"
6,2,"(9.894098, 53.573153)"
6,3,"(9.894145, 53.573142)"
6,4,"(9.894194, 53.573137)"
6,5,"(9.894243, 53.573134)"
6,6,"(9.894293, 53.573130)"
6,7,"(9.894343, 53.573127)"
6,8,"(9.894392, 53.573123)"
6,9,"(9.894442, 53.573125)"
7,0,"(9.893184, 53.573516)"
7,1,"(9.893179, 53.573480)"
7,2,"(9.893200, 53.573448)"
7,3,"(9.893247, 53.573425)"
7,4,"(9.893294, 53.573403)"
7,5,"(9.893341, 53.573381)"
7,6,"(9.893385, 53.573357)"
7,7,"(9.893429, 53.573332)"
7,8,"(9.893473, 53.573308)"
7,9,"(9.893527, 53.573292)"
