polygon_id,point_index,geocoordinate
0,0,"(10.012191, 53.600706)"
0,1,"(10.012279, 53.600648)"
0,2,"(10.012376, 53.600596)"
0,3,"(10.012472, 53.600544)"
0,4,"(10.012569, 53.600493)"
0,5,"(10.012671, 53.600444)"
0,6,"(10.012783, 53.600404)"
0,7,"(10.012904, 53.600376)"
0,8,"(10.013029, 53.600355)"
0,9,"(10.013159, 53.600345)"
1,0,"(10.013584, 53.599696)"
1,1,"(10.013586, 53.599672)"
1,2,"(10.013587, 53.599647)"
1,3,"(10.013592, 53.599622)"
1,4,"(10.013601, 53.599598)"
1,5,"(10.013612, 53.599574)"
1,6,"(10.013625, 53.599550)"
1,7,"(10.013639, 53.599527)"
1,8,"(10.013655, 53.599504)"
1,9,"(10.013671, 53.599481)"
2,0,"(10.012186, 53.599871)"
2,1,"(10.012303, 53.599873)"
2,2,"(10.012420, 53.599878)"
2,3,"(10.012535, 53.599889)"
2,4,"(10.012650, 53.599901)"
2,5,"(10.012765, 53.599912)"
2,6,"(10.012881, 53.599924)"
2,7,"(10.012994, 53.599940)"
2,8,"(10.013108, 53.599958)"
2,9,"(10.013222, 53.599970)"
3,0,"(10.013471, 53.600497)"
3,1,"(10.013471, 53.600528)"
3,2,"(10.013471, 53.600560)"
3,3,"(10.013462, 53.600591)"
3,4,"(10.013453, 53.600623)"
3,5,"(10.013443, 53.600654)"
3,6,"(10.013431, 53.600685)"
3,7,"(10.013416, 53.600715)"
3,8,"(10.013403, 53.600746)"
3,9,"(10.013390, 53.600777)"
4,0,"(10.013773, 53.599696)"
4,1,"(10.013779, 53.599673)"
4,2,"(10.013785, 53.599650)"
4,3,"(10.013791, 53.599626)"
4,4,"(10.013798, 53.599603)"
4,5,"(10.013806, 53.599580)"
4,6,"(10.013813, 53.599557)"
4,7,"(10.013822, 53.599534)"
4,8,"(10.013832, 53.599512)"
4,9,"(10.013841, 53.599489)"
5,0,"(10.012208, 53.600754)"
5,1,"(10.012292, 53.600700)"
5,2,"(10.012387, 53.600652)"
5,3,"(10.012481, 53.600604)"
5,4,"(10.012576, 53.600557)"
5,5,"(10.012676, 53.600514)"
5,6,"(10.012791, 53.600487)"
5,7,"(10.012912, 53.600470)"
5,8,"(10.013036, 53.600471)"
5,9,"(10.013159, 53.600469)"
6,0,"(10.013713, 53.599680)"
6,1,"(10.013716, 53.599658)"
6,2,"(10.013718, 53.599636)"
6,3,"(10.013721, 53.599615)"
6,4,"(10.013724, 53.599593)"
6,5,"(10.013728, 53.599571)"
6,6,"(10.013734, 53.599550)"
6,7,"(10.013744, 53.599529)"
6,8,"(10.013756, 53.599508)"
6,9,"(10.013767, 53.599488)"
7,0,"(10.014415, 53.600094)"
7,1,"(10.014515, 53.600116)"
7,2,"(10.014617, 53.600133)"
7,3,"(10.014721, 53.600147)"
7,4,"(10.014824, 53.600162)"
7,5,"(10.014927, 53.600177)"
7,6,"(10.015031, 53.600192)"
7,7,"(10.015134, 53.600207)"
7,8,"(10.015237, 53.600223)"
7,9,"(10.015338, 53.600243)"
9,0,"(10.012200, 53.599688)"
9,1,"(10.012317, 53.599692)"
9,2,"(10.012434, 53.599696)"
9,3,"(10.012550, 53.599706)"
9,4,"(10.012664, 53.599719)"
9,5,"(10.012779, 53.599732)"
9,6,"(10.012894, 53.599745)"
9,7,"(10.013009, 53.599758)"
9,8,"(10.013125, 53.599766)"
9,9,"(10.013242, 53.599770)"
10,0,"(10.013235, 53.599918)"
10,1,"(10.013119, 53.599908)"
10,2,"(10.013005, 53.599893)"
10,3,"(10.012891, 53.599879)"
10,4,"(10.012776, 53.599868)"
10,5,"(10.012660, 53.599858)"
10,6,"(10.012544, 53.599849)"
10,7,"(10.012427, 53.599845)"
10,8,"(10.012311, 53.599842)"
10,9,"(10.012194, 53.599840)"
11,0,"(10.015343, 53.600275)"
11,1,"(10.015216, 53.600256)"
11,2,"(10.015086, 53.600243)"
11,3,"(10.014957, 53.600231)"
11,4,"(10.014828, 53.600218)"
11,5,"(10.014699, 53.600204)"
11,6,"(10.014574, 53.600181)"
11,7,"(10.014456, 53.600148)"
11,8,"(10.014328, 53.600133)"
11,9,"(10.014198, 53.600123)"
12,0,"(10.014873, 53.600013)"
12,1,"(10.014774, 53.599999)"
12,2,"(10.014674, 53.599989)"
12,3,"(10.014574, 53.599980)"
12,4,"(10.014474, 53.599971)"
12,5,"(10.014374, 53.599962)"
12,6,"(10.014274, 53.599953)"
12,7,"(10.014175, 53.599940)"
12,8,"(10.014078, 53.599923)"
12,9,"(10.013978, 53.599911)"
13,0,"(10.012201, 53.599752)"
13,1,"(10.012320, 53.599757)"
13,2,"(10.012439, 53.599754)"
13,3,"(10.012558, 53.599753)"
13,4,"(10.012675, 53.599762)"
13,5,"(10.012792, 53.599776)"
13,6,"(10.012910, 53.599784)"
13,7,"(10.013028, 53.599791)"
13,8,"(10.013146, 53.599801)"
13,9,"(10.013260, 53.599821)"
14,0,"(10.013536, 53.600768)"
14,1,"(10.013547, 53.600701)"
14,2,"(10.013553, 53.600634)"
14,3,"(10.013567, 53.600567)"
14,4,"(10.013582, 53.600501)"
14,5,"(10.013596, 53.600434)"
14,6,"(10.013611, 53.600367)"
14,7,"(10.013626, 53.600300)"
14,8,"(10.013640, 53.600234)"
14,9,"(10.013657, 53.600167)"
15,0,"(10.013599, 53.600768)"
15,1,"(10.013610, 53.600700)"
15,2,"(10.013622, 53.600632)"
15,3,"(10.013638, 53.600564)"
15,4,"(10.013654, 53.600496)"
15,5,"(10.013671, 53.600429)"
15,6,"(10.013687, 53.600361)"
15,7,"(10.013703, 53.600293)"
15,8,"(10.013720, 53.600226)"
15,9,"(10.013723, 53.600157)"
17,0,"(10.013255, 53.599807)"
17,1,"(10.013137, 53.599793)"
17,2,"(10.013017, 53.599787)"
17,3,"(10.012897, 53.599782)"
17,4,"(10.012777, 53.599775)"
17,5,"(10.012659, 53.599762)"
17,6,"(10.012542, 53.599746)"
17,7,"(10.012425, 53.599730)"
17,8,"(10.012306, 53.599718)"
17,9,"(10.012186, 53.599714)"
18,0,"(10.013553, 53.600156)"
18,1,"(10.013555, 53.600194)"
18,2,"(10.013554, 53.600231)"
18,3,"(10.013546, 53.600269)"
18,4,"(10.013539, 53.600306)"
18,5,"(10.013535, 53.600344)"
18,6,"(10.013532, 53.600382)"
18,7,"(10.013529, 53.600420)"
18,8,"(10.013526, 53.600458)"
18,9,"(10.013524, 53.600495)"
19,0,"(10.013501, 53.600662)"
19,1,"(10.013506, 53.600607)"
19,2,"(10.013511, 53.600553)"
19,3,"(10.013516, 53.600499)"
19,4,"(10.013521, 53.600445)"
19,5,"(10.013526, 53.600390)"
19,6,"(10.013531, 53.600336)"
19,7,"(10.013536, 53.600282)"
19,8,"(10.013536, 53.600228)"
19,9,"(10.013531, 53.600173)"
22,0,"(10.014879, 53.600013)"
22,1,"(10.014775, 53.600003)"
22,2,"(10.014672, 53.599994)"
22,3,"(10.014569, 53.599981)"
22,4,"(10.014467, 53.599968)"
22,5,"(10.014364, 53.599955)"
22,6,"(10.014262, 53.599942)"
22,7,"(10.014160, 53.599929)"
