polygon_id,points
0,"285,784 285,854 292,855 295,866 296,887 300,896 311,967 312,1001 317,1020 399,1020 398,980 393,964 390,920 383,886 379,816 375,804 374,784 285,784"
1,"304,266 304,367 391,367 392,361 426,356 574,347 652,339 722,327 831,321 886,303 899,294 906,284 911,284 911,266 720,266 719,272 710,274 497,288 428,287 410,284 392,276 388,266 304,266"
2.0,"444,316 447,316 447,311 444,311 444,316"
2.1,"328,334 331,335 339,311 325,311 325,324 328,334"
2.2,"751,319 725,320 715,324 693,325 636,335 487,348 404,349 384,352 363,367 338,364 330,354 327,388 324,392 318,390 318,356 304,352 304,457 411,457 411,452 416,446 434,436 482,423 523,422 618,412 668,411 690,407 737,406 786,399 883,395 911,390 911,311 759,311 759,316 751,319"
3,"125,29 125,199 131,199 133,205 141,295 151,344 154,412 160,465 164,476 170,551 178,592 180,630 267,630 267,605 260,582 259,540 247,476 241,396 233,350 227,272 223,257 219,202 215,188 214,157 209,134 206,85 199,55 198,29 125,29"
4,"202,61 207,90 213,177 220,210 224,273 239,375 245,457 260,546 260,587 266,612 264,649 356,649 358,618 350,579 350,543 337,505 332,470 334,444 331,421 324,399 324,357 319,337 318,301 307,254 310,228 324,214 324,205 313,183 303,143 299,101 295,91 294,61 202,61"
5,"220,740 218,759 212,764 202,765 202,879 207,879 210,887 221,990 226,998 239,1007 239,1014 311,1014 305,933 295,883 291,834 286,817 286,794 291,785 294,765 298,759 310,756 311,740 220,740"
