polygon_id,points
0,"783,240 780,251 722,311 712,326 700,336 692,351 678,364 669,368 658,388 616,432 610,443 606,447 599,447 599,473 607,473 618,479 625,478 628,472 675,427 687,408 716,379 716,376 753,343 779,315 783,306 814,273 820,261 828,259 828,240 783,240"
1,"877,247 877,254 861,274 860,281 852,292 848,292 836,311 840,315 853,314 850,327 839,345 823,366 816,370 800,390 757,432 751,443 733,461 724,475 712,484 703,499 682,520 680,526 673,532 663,533 663,542 670,542 692,561 699,558 708,544 729,526 748,498 787,459 839,399 860,380 884,346 907,326 937,289 945,274 955,265 959,256 969,252 969,247 896,247 896,254 890,256 886,252 886,247 877,247"
2.0,"151,259 159,261 192,318 196,320 216,355 236,381 237,387 272,443 332,512 351,542 359,549 362,559 377,559 377,552 387,542 390,528 380,523 367,505 355,480 348,473 343,459 343,448 350,446 356,454 367,454 367,450 334,400 327,395 315,376 286,347 286,344 266,332 247,313 220,270 214,255 203,246 203,240 200,240 198,248 186,247 185,240 151,240 151,259"
2.1,"402,507 407,516 409,503 404,500 402,507"
3,"828,247 828,254 823,262 764,332 712,380 668,435 663,437 636,468 624,471 624,489 631,489 648,502 654,499 666,484 711,443 759,384 790,355 804,336 827,313 844,288 851,283 865,261 873,260 873,247 828,247"
4,"215,240 215,268 220,268 224,272 247,310 251,311 261,324 283,337 296,355 303,360 343,414 362,434 368,446 378,455 392,478 407,493 420,516 420,521 427,521 428,514 452,492 457,492 457,487 449,486 422,444 396,414 372,379 371,373 343,340 284,252 281,240 215,240"
5,"413,765 413,771 400,781 388,799 372,815 349,834 316,878 304,888 239,966 234,968 193,1012 183,1015 183,1023 233,1023 236,1016 265,987 273,973 286,961 300,941 323,923 323,920 342,902 351,885 366,870 375,850 381,844 401,835 426,809 441,801 441,792 422,771 422,765 413,765"
6,"364,708 364,715 352,731 336,744 308,779 288,797 228,870 208,888 199,902 128,975 127,979 119,981 119,1020 132,1020 135,1012 163,995 209,945 223,925 235,915 276,864 291,851 300,837 339,799 351,781 364,771 394,737 406,734 400,732 382,715 382,708 364,708"
7,"440,784 440,790 438,792 437,792 437,795 436,796 436,798 435,799 434,799 433,800 431,800 431,801 430,802 429,802 429,804 428,805 428,806 427,807 426,807 425,808 424,808 424,809 423,810 423,811 422,812 421,812 420,813 420,814 419,815 418,815 417,816 416,816 416,819 414,821 413,821 413,822 411,824 410,824 410,825 409,826 408,826 408,827 406,829 405,829 405,830 403,832 402,832 402,833 401,834 399,834 399,835 398,836 397,836 396,837 394,837 394,838 393,839 389,839 388,840 384,840 384,841 383,842 381,842 381,843 379,845 378,845 378,846 377,847 376,847 375,848 375,849 374,850 373,850 373,851 371,853 370,853 370,854 369,855 368,855 367,856 367,859 366,860 365,860 365,862 364,863 364,865 363,866 362,866 362,868 361,869 360,869 360,870 359,871 359,873 358,874 357,874 357,875 356,876 356,878 355,879 354,879 354,881 353,882 352,882 352,883 350,885 349,885 349,887 348,888 348,889 347,890 346,890 346,892 345,893 344,893 344,894 342,896 341,896 341,899 339,901 338,901 338,902 337,903 336,903 335,904 335,905 334,906 333,906 333,907 331,909 330,909 330,910 329,911 328,911 327,912 327,913 326,914 325,914 325,915 323,917 322,917 322,918 321,919 320,919 320,921 319,922 319,923 318,924 317,924 316,925 316,926 315,927 314,927 313,928 312,928 312,929 311,930 311,931 310,932 308,932 307,933 306,933 306,934 305,935 304,935 303,936 303,937 302,938 301,938 301,940 300,941 298,941 298,942 297,943 296,943 295,944 295,947 294,948 293,948 292,949 292,950 291,951 290,951 290,953 289,954 288,954 288,955 287,956 287,958 286,959 285,959 284,960 284,961 283,962 282,962 282,963 281,964 280,964 279,965 279,966 278,967 277,967 276,968 276,969 275,970 274,970 274,972 273,973 272,973 272,974 270,976 269,976 269,977 268,978 268,979 267,980 266,980 265,981 264,981 264,983 263,984 263,985 262,986 261,986 261,987 259,989 258,989 258,990 257,991 256,991 255,992 255,993 254,994 253,994 253,995 252,996 252,998 251,999 250,999 250,1001 249,1002 248,1002 248,1003 246,1005 245,1005 245,1006 243,1008 242,1008 242,1009 241,1010 240,1010 240,1011 238,1013 236,1013 236,1014 235,1015 228,1015 228,1023 257,1023 257,1021 258,1020 260,1020 261,1019 262,1019 262,1018 263,1017 267,1017 267,1016 268,1015 271,1015 272,1014 275,1014 275,1013 276,1012 281,1012 282,1013 282,1014 291,1014 291,1013 293,1011 295,1011 295,1010 296,1009 297,1009 297,1008 298,1007 299,1007 300,1006 300,1005 301,1004 302,1004 303,1003 303,1002 304,1001 305,1001 305,1000 306,999 307,999 308,998 308,996 309,995 310,995 310,994 311,993 311,992 312,991 313,991 313,989 314,988 315,988 316,987 316,986 317,985 318,985 318,984 320,982 321,982 321,980 322,979 323,979 323,978 324,977 324,976 325,975 326,975 326,973 328,971 329,971 329,970 330,969 331,969 331,967 332,966 332,965 333,964 334,964 335,963 335,962 336,961 337,961 337,960 338,959 339,959 339,957 341,955 342,955 342,954 343,953 343,952 344,951 345,951 345,949 346,948 347,948 348,947 348,946 349,945 350,945 350,944 352,942 355,942 355,941 357,939 358,939 358,938 359,937 359,936 360,935 363,935 363,933 365,931 366,931 366,930 367,929 367,928 368,927 369,927 369,925 370,924 371,924 372,923 372,920 373,919 374,919 375,918 375,916 376,915 377,915 377,914 378,913 379,913 379,911 380,910 380,909 381,908 382,908 382,906 383,905 383,904 384,903 385,903 386,902 387,902 387,901 389,899 390,899 390,898 391,897 391,896 392,895 393,895 394,894 395,894 395,893 397,891 398,891 398,890 399,889 399,888 400,887 401,887 402,886 403,886 403,885 405,883 406,883 406,882 407,881 407,880 408,879 409,879 409,877 410,876 411,876 412,875 414,875 414,874 415,873 415,872 416,871 417,871 418,870 419,870 419,869 421,867 422,867 422,866 423,865 423,864 424,863 425,863 426,862 427,862 427,861 429,859 430,859 430,858 431,857 431,856 432,855 433,855 434,854 435,854 435,853 437,851 438,851 438,850 439,849 439,848 440,847 441,847 442,846 443,846 443,845 445,843 447,843 447,840 448,839 449,839 450,838 451,838 451,837 453,835 454,835 454,834 455,833 455,832 456,831 457,831 458,830 459,830 459,829 461,827 462,827 462,826 463,825 463,824 464,823 465,823 466,822 467,822 467,821 468,820 470,820 470,818 471,817 471,816 472,815 473,815 473,810 472,810 471,809 471,808 470,807 468,807 467,806 467,805 464,805 463,804 461,804 460,803 460,802 459,801 459,800 456,800 454,798 454,797 453,797 451,795 451,794 448,794 447,793 447,792 446,791 445,791 444,790 444,784 440,784"
8,"696,682 695,691 688,700 680,724 685,731 692,732 708,744 714,766 736,777 745,777 757,782 783,783 857,807 871,815 884,829 888,836 887,847 890,854 922,875 950,887 952,891 963,895 983,910 1014,924 1015,931 1023,931 1023,847 984,831 907,784 757,708 740,693 730,690 727,682 696,682"
9,"864,253 863,263 855,275 834,296 820,318 800,336 780,363 760,378 748,395 740,400 727,419 720,424 708,443 671,477 658,495 652,500 644,500 644,524 651,524 657,529 668,540 668,547 676,547 676,525 699,505 710,491 711,485 723,475 756,432 830,361 863,314 883,297 899,271 902,253 864,253"
