point_index,image_x,image_y,original_x,original_y,lon,lat,avg_width,polygon_id
0,596.0119782650079,711.9177831688744,571271.8634672628,5937804.159334728,10.0766173443672,53.58423688922898,24.207374496399805,0
1,642.8637363174139,687.576319160281,571278.358072651,5937807.533556099,10.076716202183805,53.58426633048223,24.207374496399805,0
2,689.634628199282,663.0797177708713,571284.8414683453,5937810.929282663,10.076814895751125,53.58429596644297,24.207374496399805,0
3,736.4151048535693,638.6014389206206,571291.3261926837,5937814.322469351,10.07691360894178,53.5843255793151,24.207374496399805,0
4,783.295421456733,614.3150644155434,571297.824756867,5937817.689054198,10.07701252521314,53.584354951153735,24.207374496399805,0
5,830.3637994444472,590.3954824067843,571304.3493901786,5937821.004794154,10.077111823721877,53.584383862424346,24.207374496399805,0
6,877.7044186967502,567.0197584338969,571310.9117616594,5937824.245144338,10.07721167509279,53.58441209095546,24.207374496399805,0
7,925.3952731017852,544.3677203688594,571317.5226828471,5937827.385176957,10.07731223691066,53.584439411250436,24.207374496399805,0
8,973.5059092857489,522.6222208389843,571324.1917943164,5937830.399544918,10.077413648977622,53.58446559420313,24.207374496399805,0
9,1022.0949011393375,501.96860080368543,571330.9272155986,5937833.262556202,10.077516028042757,53.58449040781402,24.207374496399805,0
0,-0.1667771455652769,858.8257801444141,571189.2209812998,5937783.794902135,10.075364560775368,53.584065100361705,27.266653606245853,1
1,33.90194112389019,843.8238014833142,571193.943597706,5937785.87448112,10.075436359950892,53.58408314832841,27.266653606245853,1
2,67.81920611127262,828.4822134708503,571198.6452196109,5937788.001136859,10.075507852852416,53.58410162217899,27.266653606245853,1
3,101.63760747008207,812.9237357944656,571203.3331370085,5937790.157857912,10.075579145699482,53.58412036804303,27.266653606245853,1
4,135.41208842017278,797.2700693947938,571208.0149661453,5937792.327774055,10.075650349670308,53.58413923327467,27.266653606245853,1
5,169.19862008031194,781.6424504175211,571212.6984657553,5937794.494079497,10.075721578108956,53.5841580657875,27.266653606245853,1
