point_index,image_x,image_y,original_x,original_y,lon,lat,avg_width,polygon_id
0,292.7219252915322,366.28803465972044,569865.0401614127,5937615.677175788,10.05532797928924,53.58273231226319,55.977645948973375,0
1,277.5486564097274,340.40409794090795,569863.5519259928,5937618.215942598,10.055306071681944,53.58275532647481,55.977645948973375,0
2,261.90422120799826,314.80196788662045,569862.0174773008,5937620.7270690445,10.055283459930202,53.58277809843425,55.977645948973375,0
3,245.89738719258588,289.4246666107013,569860.4474835489,5937623.216143673,10.055260306400399,53.582800676944345,55.977645948973375,0
4,229.63461248488272,264.21049297017464,569858.8523864388,5937625.689218301,10.055236770142027,53.58282311500165,55.977645948973375,0
5,213.22043468639603,239.0945445195542,569857.2424393024,5937628.152658735,10.05521300743025,53.58284546844978,55.977645948973375,0
6,196.7581811685153,214.01005755328012,569855.6277767688,5937630.613013342,10.0551891727886,53.58286779478894,55.977645948973375,0
7,180.35075284306734,188.88970270207193,569854.018491639,5937633.076885968,10.05516542012152,53.58289015202364,55.977645948973375,0
8,164.10150424824158,163.6668166223299,569852.4247212068,5937635.550815136,10.055141903990984,53.58291259756548,55.977645948973375,0
9,148.11508432764919,138.27665989983296,569850.8567297248,5937638.041150662,10.055118780834327,53.58293518711341,55.977645948973375,0
0,697.0933171148463,944.8991352747955,569904.7020057226,5937558.925427636,10.055914256844268,53.58221699792505,53.27593995425583,1
1,672.6150812791167,911.1542493082012,569902.3011138733,5937562.235217697,10.055878739359104,53.58224706309265,53.27593995425583,1
2,648.4952919823791,877.1520228052647,569899.935379434,5937565.570248417,10.055843758433276,53.58227735040213,53.27593995425583,1
3,624.5770393260054,843.0076111317827,569897.5894122558,5937568.919225044,10.055809079111542,53.582307760399026,53.27593995425583,1
4,600.7012642889729,808.8334584373954,569895.2476113979,5937572.271118751,10.055774463314437,53.582338196046535,53.27593995425583,1
5,576.708424768904,774.7414600848899,569892.8943285375,5937575.614954537,10.055739672258595,53.58236856079766,53.27593995425583,1
6,552.4402153995104,740.845092495845,569890.5140366545,5937578.939602326,10.055704468957497,53.58239875669526,53.27593995425583,1
7,527.741395291295,707.2614542616161,569888.0915093007,5937582.233576771,10.05566862088405,53.58242868254909,53.27593995425583,1
8,502.46190649554967,674.1130514552892,569885.6120283852,5937585.484862143,10.055631903069456,53.582458232334254,53.27593995425583,1
9,476.459545823824,641.5290452190131,569883.0616462327,5937588.680789967,10.055594102033597,53.58248729405671,53.27593995425583,1
0,289.4962405009469,654.5959898676767,569864.723777488,5937587.399148549,10.055316870502013,53.582478219190676,66.15971386133006,2
