polygon_id,point_index,geocoordinate
1,0,"(9.901959, 53.569411)"
1,1,"(9.901979, 53.569399)"
1,2,"(9.901998, 53.569388)"
1,3,"(9.902018, 53.569376)"
1,4,"(9.902038, 53.569364)"
1,5,"(9.902061, 53.569354)"
1,6,"(9.902088, 53.569349)"
1,7,"(9.902114, 53.569343)"
1,8,"(9.902140, 53.569337)"
1,9,"(9.902167, 53.569332)"
3,0,"(9.903319, 53.568765)"
3,1,"(9.903341, 53.568742)"
3,2,"(9.903364, 53.568720)"
3,3,"(9.903389, 53.568698)"
3,4,"(9.903418, 53.568678)"
3,5,"(9.903451, 53.568661)"
3,6,"(9.903484, 53.568644)"
3,7,"(9.903523, 53.568631)"
3,8,"(9.903562, 53.568618)"
3,9,"(9.903601, 53.568606)"
6,0,"(9.903371, 53.568844)"
6,1,"(9.903394, 53.568821)"
6,2,"(9.903417, 53.568798)"
6,3,"(9.903443, 53.568775)"
6,4,"(9.903473, 53.568755)"
6,5,"(9.903505, 53.568736)"
6,6,"(9.903537, 53.568717)"
6,7,"(9.903571, 53.568699)"
6,8,"(9.903606, 53.568681)"
6,9,"(9.903640, 53.568664)"
