polygon_id,points
0,"144,221 144,255 150,255 152,259 195,287 243,324 248,331 281,353 352,422 369,433 375,439 375,444 380,444 383,436 398,430 405,420 412,420 400,415 339,357 248,287 227,266 186,239 174,227 174,221 144,221"
1.0,"484,561 478,552 471,552 477,559 484,561"
1.1,"465,651 460,647 459,640 452,639 452,649 465,651"
1.2,"471,657 471,656 469,657 471,657"
1.3,"604,584 607,596 605,611 621,635 648,662 704,707 840,803 851,799 866,783 873,782 873,765 840,756 838,752 832,751 812,736 786,724 747,688 738,684 692,647 630,589 611,575 600,573 599,580 604,584"
2,"164,196 164,222 171,222 179,228 181,233 197,246 230,268 253,291 332,351 348,365 349,369 395,407 405,420 419,415 435,403 436,392 400,365 379,341 368,335 315,288 296,279 278,261 240,237 219,216 197,204 195,196 164,196"
3,"87,298 87,335 92,335 105,343 117,355 132,364 168,401 198,425 221,451 238,463 240,468 246,471 280,507 285,511 291,511 313,491 311,482 283,453 211,386 160,348 123,311 111,306 108,298 87,298"
4.0,"724,683 730,687 728,694 735,700 736,719 758,726 760,734 765,739 772,738 770,747 784,758 790,758 790,719 776,716 771,708 752,700 734,680 725,679 724,683"
4.1,"356,548 353,551 341,557 328,570 326,576 317,578 317,591 356,582 360,575 364,575 367,582 362,585 372,594 372,599 380,607 384,619 407,644 466,693 468,699 476,706 477,713 484,717 484,727 490,732 493,742 507,748 516,757 517,767 525,777 539,782 546,789 549,804 574,807 594,822 607,822 620,828 626,836 629,849 634,854 652,860 663,875 670,876 674,881 689,884 695,879 707,879 709,883 727,893 725,899 744,903 756,903 771,894 771,885 755,869 736,860 723,848 637,794 611,773 578,756 515,690 498,679 491,669 466,650 451,632 437,623 419,602 407,593 406,580 392,572 387,565 381,564 367,548 367,541 356,541 356,548"
5,"688,573 688,604 699,607 749,654 759,657 785,655 846,663 856,667 887,668 910,673 914,676 914,681 943,681 943,608 916,607 862,597 829,596 817,592 765,591 727,583 719,579 719,573 688,573"
6,"76,324 76,329 68,338 61,338 61,363 68,363 83,372 143,423 250,528 260,547 260,541 283,523 283,512 254,483 254,480 224,455 187,416 152,388 134,367 98,340 87,329 87,324 76,324"
7.0,"615,510 614,511 605,511 605,523 612,523 613,524 615,524 616,525 616,526 617,526 618,527 619,527 620,528 620,529 621,530 621,531 622,531 624,533 624,534 627,534 628,535 630,535 631,536 631,537 632,538 632,539 633,539 634,540 635,540 636,541 636,542 643,542 644,543 646,543 647,544 647,545 648,546 648,547 649,547 650,548 651,548 652,549 652,550 653,551 654,551 655,552 655,553 656,554 656,555 659,555 661,557 661,558 662,558 663,559 670,559 671,560 671,561 672,562 672,564 673,564 674,565 674,567 675,567 676,568 676,569 679,569 680,570 680,571 683,571 684,572 689,572 690,573 690,574 697,574 698,575 707,575 708,576 708,577 715,577 716,578 716,579 721,579 722,580 727,580 728,581 728,582 734,582 735,583 745,583 746,584 746,585 758,585 759,586 759,587 767,587 768,588 787,588 788,589 788,590 807,590 808,591 819,591 820,592 820,593 828,593 829,594 829,595 846,595 847,596 862,596 863,597 863,598 871,598 872,599 881,599 882,600 882,601 902,601 903,602 903,603 915,603 916,604 924,604 925,605 925,606 935,606 936,607 961,607 962,608 962,609 975,609 976,610 976,611 990,611 990,610 991,609 998,609 998,608 999,607 1004,607 1005,606 1020,606 1020,559 1012,559 1011,558 1011,557 997,557 996,556 973,556 972,555 972,554 962,554 961,553 961,552 954,552 953,551 944,551 943,550 943,549 935,549 934,548 924,548 923,547 923,546 916,546 915,545 915,544 904,544 903,543 893,543 892,542 892,541 882,541 881,540 872,540 871,539 871,538 863,538 862,537 862,536 847,536 846,535 832,535 831,534 831,533 823,533 822,532 813,532 812,531 812,530 802,530 801,529 801,528 786,528 785,527 775,527 774,526 774,525 765,525 764,524 751,524 750,523 750,522 736,522 735,521 735,520 730,520 729,519 724,519 723,518 723,517 701,517 700,516 685,516 684,515 684,514 677,514 676,513 676,512 669,512 668,511 653,511 652,510 652,509 615,509 615,510"
7.1,"605,623 620,623 620,615 619,614 619,612 618,612 617,611 617,608 616,608 614,606 614,605 613,605 612,604 612,602 611,601 611,600 605,600 605,623"
