point_index,image_x,image_y,original_x,original_y,lon,lat,avg_width,polygon_id
0,821.9119926751887,234.5778684763397,567771.9280859862,5935942.900155488,10.02335354328137,53.567973531437424,37.71335414883813,0
1,797.470779481081,261.16411905160555,567769.707055158,5935940.484200043,10.023319487494378,53.56795210578674,37.71335414883813,0
2,773.0822710308978,287.79872934377033,567767.4908137344,5935938.063850034,10.023285503095467,53.56793064001301,37.71335414883813,0
3,748.7348976987009,314.4709502585325,567765.2783103562,5935935.64008226,10.02325157442387,53.56790914303073,37.71335414883813,0
4,724.4170377495401,341.1700841320857,567763.068488929,5935933.213868841,10.023217685746312,53.56788762371289,37.71335414883813,0
5,700.1170330667716,367.8854710502997,567760.8602900519,5935930.78617847,10.023183821278867,53.567866090902115,37.71335414883813,0
6,675.8231992152478,394.6064699937981,567758.6526519329,5935928.35797812,10.023149965201133,53.56784455342585,37.71335414883813,0
7,651.5238457457203,421.3224492763289,567756.4445122333,5935925.930233919,10.023116101684275,53.56782302010401,37.71335414883813,0
8,627.2072908838074,448.0227718659076,567754.2348094023,5935923.503912479,10.023082214911467,53.56780149976072,37.71335414883813,0
9,602.8618742566882,474.6967789377624,567752.0224838345,5935921.0799823925,10.02304828909568,53.56778000123767,37.71335414883813,0
0,676.5671677070725,553.3670864572782,567758.7202581087,5935913.931025551,10.023147856236152,53.56771488772655,43.238521055976186,1
1,707.8276957984195,518.6570641600828,567761.5609762043,5935917.08520734,10.023191427456812,53.567742867942066,43.238521055976186,1
2,739.1158240253628,483.97189913133025,567764.4042023895,5935920.237130292,10.023235036110218,53.567770827516895,43.238521055976186,1
3,770.265883575668,449.1627835132483,567767.2348819476,5935923.400316926,10.023278457845311,53.567798889924084,43.238521055976186,1
4,801.110239378927,414.0827142214189,567770.0377814835,5935926.588125761,10.023321465577808,53.56782717718611,43.238521055976186,1
5,831.4769958745154,378.58874162077745,567772.797280441,5935929.813546968,10.023363826298318,53.5678558080654,43.238521055976186,1
6,861.1884979440913,342.5449249664765,567775.4972348798,5935933.088933803,10.023405298957393,53.56788489566828,43.238521055976186,1
7,890.0601907561243,305.8255083157677,567778.1208738658,5935936.4257140085,10.023445632838593,53.567914544864635,43.238521055976186,1
8,917.9006142120265,268.31878758767044,567780.6507989671,5935939.834038397,10.023484567474478,53.56794484912981,43.238521055976186,1
9,944.5128625172649,229.93156349481092,567783.0691168888,5935943.322376207,10.023521834561073,53.56797588689084,43.238521055976186,1
0,865.0503316352094,239.76012345349488,567775.8481688377,5935942.429231727,10.023412623824544,53.5679687928476,34.4478521181639,3
1,840.1790516009899,268.94000504971535,567773.5880568188,5935939.777586898,10.023377926851301,53.567945254089636,34.4478521181639,3
2,815.0352442597615,297.8854018376309,567771.3031795993,5935937.1472502565,10.02334286065231,53.56792191001952,34.4478521181639,3
3,789.6336164995892,326.60482566561336,567768.9948736287,5935934.537448314,10.02330744523664,53.56789875351289,34.4478521181639,3
4,763.9886828478573,355.10721677646757,567766.6644578766,5935931.947368646,10.023271700340976,53.567875777097726,34.4478521181639,3
5,738.1147309589687,383.4018878721946,567764.3132306957,5935929.376164988,10.02323564538338,53.567852973000534,34.4478521181639,3
