polygon_id,points
26,"407,330 407,425 413,426 418,461 418,502 413,524 421,614 428,651 455,654 463,652 463,623 457,622 455,614 449,536 441,487 441,463 438,445 431,431 427,378 422,357 412,337 412,330 407,330"
27,"394,324 394,407 407,406 412,416 418,463 415,534 444,534 444,452 436,449 431,433 425,373 414,341 407,331 407,324 394,324"
28.0,"367,345 370,349 370,366 381,433 392,459 395,459 395,429 391,423 390,373 385,343 383,336 362,336 362,345 367,345"
28.1,"407,475 412,473 412,455 405,445 405,475 407,475"
28.2,"395,475 395,469 394,475 395,475"
28.3,"397,534 404,580 405,619 412,651 419,652 423,649 422,637 419,623 415,619 412,581 407,567 409,522 403,488 399,485 396,509 397,534"
29.0,"381,436 390,436 391,431 387,425 387,380 381,380 381,436"
29.1,"399,631 394,637 394,649 401,651 406,649 406,636 399,624 399,631"
30,"399,471 394,492 394,511 397,564 400,588 405,602 405,623 413,654 431,654 431,608 424,607 420,599 415,569 415,543 420,526 417,471 399,471"
31,"197,836 196,844 171,850 116,850 38,866 24,866 18,868 15,874 10,874 10,892 75,892 79,879 106,873 196,862 226,849 278,847 278,836 197,836"
32,"420,458 420,606 428,608 432,651 463,655 463,605 458,605 455,598 444,458 420,458"
33,"362,330 362,371 367,371 370,376 376,427 386,463 386,475 391,482 391,527 406,527 398,431 393,414 393,392 387,352 383,345 382,330 362,330"
34,"413,400 413,593 420,594 428,636 428,655 462,655 463,645 470,642 464,642 462,639 455,607 441,452 438,440 431,430 430,400 413,400"
