polygon_id,points
0,"986,496 986,502 979,508 944,522 929,532 912,536 910,540 885,549 875,557 836,573 827,580 812,584 797,592 795,596 781,600 779,604 765,608 747,620 735,624 694,650 658,664 619,687 599,692 599,718 622,715 640,702 667,691 728,655 756,643 759,639 774,635 789,623 819,611 869,583 895,574 909,564 934,555 984,529 1007,523 1012,519 1023,518 1023,496 986,496"
1,"272,714 272,719 267,724 216,744 126,788 109,792 91,804 82,805 36,829 4,839 4,868 15,867 20,863 52,854 93,831 107,827 125,815 230,771 256,756 275,750 282,743 303,740 303,714 272,714"
2,"624,298 620,323 608,346 596,385 592,389 591,398 581,420 564,483 560,487 551,515 547,520 541,520 541,540 548,540 548,535 552,532 564,531 571,527 579,516 583,500 598,467 599,456 606,444 615,410 619,406 620,397 638,355 639,344 651,313 651,298 624,298"
3,"296,836 294,844 278,852 228,866 190,884 172,888 148,900 109,912 89,924 74,928 43,943 34,944 25,951 4,956 4,980 17,979 39,967 57,963 61,959 99,947 124,935 134,934 168,919 187,915 233,894 240,887 266,876 291,870 315,860 317,855 323,855 315,851 310,836 296,836"
4,"594,298 594,305 565,373 556,409 552,412 543,444 533,463 527,491 521,500 516,500 516,518 523,518 540,526 547,519 566,473 580,421 585,414 622,308 623,298 594,298"
5,"986,388 985,396 976,400 974,404 967,405 955,416 904,432 869,450 865,455 832,464 828,468 792,480 774,492 748,501 707,524 653,546 633,559 624,559 624,569 641,574 675,563 711,543 729,539 749,527 849,483 866,471 929,446 957,428 971,427 973,423 987,419 991,415 1001,414 1023,399 1023,388 986,388"
6,"404,906 404,937 380,996 368,1017 362,1018 362,1023 401,1023 411,998 415,978 435,929 435,919 428,913 427,906 404,906"
7,"372,919 372,926 371,927 370,927 370,931 369,932 368,932 368,934 367,935 367,937 366,938 365,938 365,940 364,941 364,943 363,944 362,944 362,948 361,949 360,949 360,953 359,954 359,958 358,959 357,959 357,964 356,965 356,969 355,970 354,970 354,974 353,975 352,975 352,979 351,980 351,983 350,984 349,984 349,990 348,991 348,993 347,994 346,994 346,998 345,999 344,999 343,1000 343,1001 342,1002 336,1002 336,1023 369,1023 369,1018 370,1017 371,1017 371,1015 372,1014 372,1012 373,1011 374,1011 374,1007 375,1006 375,1002 376,1001 377,1001 377,999 378,998 379,998 379,996 380,995 380,989 381,988 382,988 382,984 383,983 383,981 384,980 385,980 385,978 386,977 387,977 387,972 388,971 388,968 389,967 390,967 390,965 391,964 391,962 392,961 393,961 393,957 394,956 395,956 395,952 396,951 396,949 397,948 398,948 398,946 399,945 399,941 400,940 401,940 401,927 400,927 399,926 399,919 372,919"
8,"279,810 279,815 292,817 293,823 245,832 224,840 215,847 199,848 164,866 116,880 97,892 44,912 35,919 4,927 4,953 35,942 44,935 59,931 116,903 153,891 165,884 198,875 224,860 263,851 302,835 305,826 299,822 299,810 279,810"
9,"220,780 199,784 179,796 144,808 128,816 126,820 93,834 62,852 20,868 10,869 10,895 22,894 54,881 104,855 113,854 125,846 137,843 154,831 163,830 192,815 201,814 208,807 220,804 220,780"
10,"268,746 268,751 263,756 248,760 246,764 214,780 197,784 177,796 144,808 55,855 14,871 4,871 4,897 28,891 32,887 83,867 98,857 134,843 152,831 167,827 198,812 213,801 233,798 299,769 300,746 268,746"
11,"202,816 202,822 196,826 175,832 123,855 114,856 102,864 65,879 56,880 17,900 0,901 0,943 4,943 4,936 18,927 27,926 74,903 89,899 108,887 169,867 172,863 199,854 228,839 239,839 239,816 202,816"
12.0,"999,433 1003,433 1003,426 1000,426 999,433"
12.1,"888,469 878,476 848,485 820,500 805,504 734,540 701,552 686,564 658,573 649,580 618,586 618,606 627,607 629,612 641,611 651,604 652,599 663,598 685,588 694,587 696,583 707,580 711,575 726,571 765,548 790,539 797,532 849,510 868,494 887,491 906,479 931,473 938,463 937,460 932,456 919,457 888,469"
13,"229,836 228,843 222,847 202,850 185,860 134,879 124,880 84,900 47,912 27,924 4,928 4,955 115,907 117,903 137,899 141,895 199,875 220,863 242,855 265,852 265,836 229,836"
14,"271,784 271,790 259,799 237,805 228,812 208,815 208,854 220,854 220,848 224,844 233,843 276,823 286,822 295,815 303,815 303,799 297,798 297,792 303,791 303,784 271,784"
