polygon_id,points
0,"196,0 196,22 202,23 208,54 212,60 213,75 220,95 224,148 236,188 240,220 247,242 247,262 242,274 242,283 248,300 253,305 284,302 296,295 303,295 303,277 297,276 291,245 287,238 270,135 267,120 263,115 257,69 247,28 244,0 196,0"
1,"151,4 151,62 156,62 159,68 168,131 172,138 176,174 194,262 200,272 200,278 207,278 208,271 228,270 243,263 247,257 246,237 241,225 235,184 222,140 219,90 215,83 199,4 151,4"
2,"269,381 272,414 279,436 288,527 292,538 304,646 311,672 312,705 324,775 335,1023 385,1023 391,975 401,937 403,909 399,891 398,852 379,720 359,628 358,608 348,567 345,538 335,499 334,477 327,454 316,381 269,381"
3,"208,381 208,391 215,392 216,404 220,410 231,500 232,564 239,578 245,654 252,679 256,750 268,834 266,862 276,949 277,1023 332,1023 329,866 324,828 323,773 319,763 310,674 305,657 291,533 287,523 278,440 273,420 271,381 208,381"
