polygon_id,point_index,geocoordinate,avg_width
0,0,"(10.016880, 53.586235)",39.11579254439239
0,1,"(10.016929, 53.586252)",39.11579254439239
0,2,"(10.016978, 53.586269)",39.11579254439239
0,3,"(10.017026, 53.586287)",39.11579254439239
0,4,"(10.017074, 53.586306)",39.11579254439239
0,5,"(10.017122, 53.586325)",39.11579254439239
0,6,"(10.017169, 53.586344)",39.11579254439239
0,7,"(10.017216, 53.586363)",39.11579254439239
0,8,"(10.017263, 53.586382)",39.11579254439239
0,9,"(10.017311, 53.586401)",39.11579254439239
1,0,"(10.017366, 53.586642)",33.88637748091564
1,1,"(10.017350, 53.586668)",33.88637748091564
1,2,"(10.017334, 53.586693)",33.88637748091564
1,3,"(10.017318, 53.586719)",33.88637748091564
1,4,"(10.017302, 53.586744)",33.88637748091564
1,5,"(10.017286, 53.586770)",33.88637748091564
1,6,"(10.017270, 53.586795)",33.88637748091564
1,7,"(10.017255, 53.586821)",33.88637748091564
1,8,"(10.017240, 53.586847)",33.88637748091564
1,9,"(10.017226, 53.586873)",33.88637748091564
2,0,"(10.017557, 53.586725)",39.070523056707216
2,1,"(10.017546, 53.586742)",39.070523056707216
2,2,"(10.017535, 53.586759)",39.070523056707216
2,3,"(10.017524, 53.586776)",39.070523056707216
2,4,"(10.017512, 53.586793)",39.070523056707216
2,5,"(10.017500, 53.586810)",39.070523056707216
2,6,"(10.017487, 53.586827)",39.070523056707216
2,7,"(10.017475, 53.586843)",39.070523056707216
2,8,"(10.017463, 53.586860)",39.070523056707216
2,9,"(10.017450, 53.586877)",39.070523056707216
3,0,"(10.017336, 53.586469)",44.63174093322233
3,1,"(10.017289, 53.586443)",44.63174093322233
3,2,"(10.017241, 53.586418)",44.63174093322233
3,3,"(10.017191, 53.586394)",44.63174093322233
3,4,"(10.017138, 53.586372)",44.63174093322233
3,5,"(10.017085, 53.586351)",44.63174093322233
3,6,"(10.017031, 53.586331)",44.63174093322233
3,7,"(10.016978, 53.586310)",44.63174093322233
3,8,"(10.016924, 53.586289)",44.63174093322233
3,9,"(10.016871, 53.586268)",44.63174093322233
4,0,"(10.017708, 53.586223)",38.103403301896286
4,1,"(10.017696, 53.586240)",38.103403301896286
4,2,"(10.017683, 53.586256)",38.103403301896286
4,3,"(10.017672, 53.586273)",38.103403301896286
4,4,"(10.017660, 53.586290)",38.103403301896286
4,5,"(10.017649, 53.586307)",38.103403301896286
4,6,"(10.017638, 53.586324)",38.103403301896286
4,7,"(10.017627, 53.586341)",38.103403301896286
4,8,"(10.017615, 53.586358)",38.103403301896286
4,9,"(10.017603, 53.586375)",38.103403301896286
5,0,"(10.017876, 53.586221)",37.12926181461983
5,1,"(10.017868, 53.586242)",37.12926181461983
5,2,"(10.017858, 53.586262)",37.12926181461983
5,3,"(10.017847, 53.586283)",37.12926181461983
5,4,"(10.017834, 53.586303)",37.12926181461983
5,5,"(10.017821, 53.586323)",37.12926181461983
5,6,"(10.017809, 53.586343)",37.12926181461983
5,7,"(10.017797, 53.586363)",37.12926181461983
5,8,"(10.017786, 53.586384)",37.12926181461983
5,9,"(10.017777, 53.586405)",37.12926181461983
6,0,"(10.017404, 53.586663)",32.726256958329245
6,1,"(10.017390, 53.586687)",32.726256958329245
6,2,"(10.017375, 53.586710)",32.726256958329245
6,3,"(10.017360, 53.586733)",32.726256958329245
6,4,"(10.017344, 53.586756)",32.726256958329245
6,5,"(10.017328, 53.586780)",32.726256958329245
6,6,"(10.017314, 53.586803)",32.726256958329245
6,7,"(10.017300, 53.586827)",32.726256958329245
6,8,"(10.017288, 53.586851)",32.726256958329245
6,9,"(10.017277, 53.586875)",32.726256958329245
7,0,"(10.017827, 53.586221)",34.68513391134658
7,1,"(10.017818, 53.586240)",34.68513391134658
7,2,"(10.017808, 53.586259)",34.68513391134658
7,3,"(10.017798, 53.586279)",34.68513391134658
7,4,"(10.017786, 53.586297)",34.68513391134658
7,5,"(10.017774, 53.586316)",34.68513391134658
7,6,"(10.017762, 53.586335)",34.68513391134658
7,7,"(10.017750, 53.586354)",34.68513391134658
7,8,"(10.017739, 53.586373)",34.68513391134658
7,9,"(10.017729, 53.586392)",34.68513391134658
8,0,"(10.017517, 53.586703)",37.09495413450466
8,1,"(10.017504, 53.586722)",37.09495413450466
8,2,"(10.017490, 53.586741)",37.09495413450466
8,3,"(10.017476, 53.586759)",37.09495413450466
8,4,"(10.017462, 53.586778)",37.09495413450466
8,5,"(10.017448, 53.586797)",37.09495413450466
8,6,"(10.017434, 53.586816)",37.09495413450466
8,7,"(10.017421, 53.586835)",37.09495413450466
8,8,"(10.017408, 53.586854)",37.09495413450466
8,9,"(10.017396, 53.586873)",37.09495413450466
9,0,"(10.017442, 53.586685)",41.25725360312877
9,1,"(10.017430, 53.586707)",41.25725360312877
9,2,"(10.017418, 53.586729)",41.25725360312877
9,3,"(10.017405, 53.586750)",41.25725360312877
9,4,"(10.017392, 53.586772)",41.25725360312877
9,5,"(10.017378, 53.586793)",41.25725360312877
9,6,"(10.017364, 53.586814)",41.25725360312877
9,7,"(10.017351, 53.586836)",41.25725360312877
9,8,"(10.017339, 53.586857)",41.25725360312877
9,9,"(10.017327, 53.586879)",41.25725360312877
