polygon_id,points
0,"976,400 974,408 963,412 914,418 854,431 832,432 827,436 765,445 745,452 688,458 688,481 694,481 696,489 708,489 711,481 732,476 756,475 812,463 838,462 874,452 910,449 949,439 1023,428 1023,400 976,400"
1,"324,65 331,65 340,80 341,91 348,104 352,121 380,170 384,187 396,204 413,251 428,274 429,283 437,292 451,291 458,284 454,274 433,241 406,175 399,166 395,152 372,108 366,87 367,68 363,53 359,49 359,42 324,42 324,65"
2.0,"509,382 512,387 521,388 521,362 511,362 509,382"
2.1,"455,367 446,375 429,376 420,383 404,388 319,405 289,415 244,424 238,428 144,448 134,455 125,455 125,483 137,483 137,477 146,471 164,470 205,457 214,457 223,452 238,451 256,444 273,443 277,439 291,438 309,431 377,419 384,415 415,411 423,407 443,406 456,399 478,395 502,382 497,362 455,362 455,367"
3,"983,292 983,297 977,300 954,301 931,308 839,322 799,332 756,336 747,340 682,343 682,372 700,367 727,366 780,356 804,355 826,348 878,342 896,335 919,334 933,329 963,326 999,316 1023,313 1023,292 983,292"
4,"981,330 979,338 959,346 879,360 857,367 800,373 782,380 756,381 740,386 727,386 705,394 695,394 695,415 758,409 786,401 886,387 989,364 1014,363 1023,359 1023,330 981,330"
5,"370,36 372,54 381,78 455,195 468,210 469,217 512,305 517,310 523,310 547,303 551,297 550,290 543,281 532,254 529,229 523,212 507,195 499,178 487,171 467,138 460,132 407,49 404,36 370,36"
6,"652,533 634,533 616,544 610,557 610,575 606,589 580,588 567,607 556,610 528,610 517,623 514,635 519,645 520,665 528,689 532,693 533,702 543,712 544,719 564,719 564,712 582,687 599,653 603,651 615,628 627,614 651,575 652,568 662,553 662,546 654,542 652,533"
7,"973,375 973,380 972,381 972,382 971,383 967,383 966,384 960,384 960,385 959,386 949,386 949,387 948,388 941,388 940,389 933,389 933,390 932,391 927,391 926,392 917,392 917,393 916,394 911,394 911,395 910,396 906,396 905,397 898,397 898,398 897,399 882,399 881,400 871,400 871,401 870,402 863,402 863,403 862,404 853,404 852,405 844,405 844,406 843,407 839,407 838,408 834,408 834,409 833,410 829,410 829,411 828,412 812,412 811,413 799,413 799,414 798,415 789,415 788,416 780,416 780,417 779,418 772,418 772,419 771,420 767,420 766,421 764,421 764,422 763,423 760,423 759,424 751,424 751,425 750,426 738,426 738,427 737,428 730,428 729,429 719,429 719,430 718,431 706,431 705,432 695,432 695,457 700,457 700,456 701,455 715,455 716,454 727,454 727,453 728,452 735,452 736,451 748,451 748,450 749,449 755,449 755,448 756,447 759,447 760,446 764,446 764,445 765,444 772,444 773,443 783,443 783,442 784,441 793,441 793,440 794,439 801,439 802,438 811,438 811,437 812,436 822,436 823,435 828,435 828,434 829,433 835,433 835,432 836,431 843,431 844,430 854,430 854,429 855,428 863,428 864,427 873,427 873,426 874,425 881,425 881,424 882,423 892,423 893,422 900,422 900,421 901,420 905,420 906,419 913,419 913,418 914,417 924,417 924,416 925,415 932,415 933,414 942,414 942,413 943,412 953,412 954,411 964,411 964,410 965,409 969,409 969,408 970,407 975,407 976,406 982,406 982,405 983,404 993,404 994,403 1003,403 1003,402 1004,401 1011,401 1011,400 1012,399 1023,399 1023,375 973,375"
8,"976,317 976,323 966,327 935,330 899,340 856,344 851,348 832,349 803,356 781,357 740,367 712,368 705,372 688,373 688,391 710,390 725,383 740,382 754,377 790,377 810,371 860,366 904,353 942,350 1023,332 1023,317 976,317"
9,"471,407 471,412 467,416 453,418 446,423 394,432 385,439 359,440 355,444 342,447 306,448 294,455 277,458 267,464 255,464 243,471 202,477 191,484 176,485 139,498 119,500 119,521 153,521 153,516 160,511 175,510 224,495 254,491 261,487 276,486 298,479 323,478 332,473 383,462 415,459 461,447 478,446 498,439 523,435 526,431 526,423 519,417 516,407 471,407"
10,"349,36 349,49 356,49 359,53 376,113 380,116 392,145 420,192 424,206 442,228 448,254 460,266 466,283 476,287 491,284 492,272 481,254 470,221 452,198 438,168 422,147 412,131 411,124 375,68 371,54 372,36 349,36"
11.0,"379,522 348,532 322,536 316,540 289,546 247,552 212,564 196,565 180,572 159,573 143,580 112,583 112,617 126,617 128,609 156,599 222,587 228,583 263,575 319,566 356,553 387,550 409,542 415,537 430,534 428,516 380,516 379,522"
11.1,"383,612 383,617 403,617 401,610 383,612"
