polygon_id,points
0,"568,738 566,743 546,740 538,746 543,751 541,758 546,760 551,771 559,779 587,788 629,817 646,823 680,846 691,849 695,854 715,863 722,870 753,884 770,900 790,908 800,918 807,919 821,931 849,943 849,936 810,908 804,902 801,893 787,880 748,863 716,840 703,836 697,829 688,826 681,816 663,810 662,804 648,796 643,783 640,783 623,765 597,759 585,751 579,738 568,738"
1.0,"151,419 162,427 177,427 169,407 160,407 151,413 151,419"
1.1,"85,452 90,456 93,467 105,473 110,458 99,444 92,442 85,445 85,452"
1.2,"116,482 116,491 120,497 134,503 148,515 158,518 178,537 200,547 214,548 239,566 257,569 260,572 260,591 269,598 292,598 299,593 285,591 279,587 275,570 281,565 275,556 260,551 251,544 237,543 229,546 225,543 223,509 214,501 201,493 192,492 190,488 174,480 152,479 131,484 116,482"
1.3,"332,617 336,625 344,631 357,638 366,638 369,630 369,612 361,608 341,610 332,617"
2,"520,682 520,689 512,700 512,707 527,721 542,727 544,731 566,743 584,758 590,759 637,795 673,815 696,835 708,839 728,854 734,855 741,861 741,867 759,867 759,860 737,840 709,824 627,757 568,719 540,691 537,682 520,682"
3.0,"399,775 392,805 388,846 384,853 381,872 378,911 370,940 370,950 367,954 362,954 362,1023 395,1023 395,1008 388,1003 388,996 392,991 399,993 403,983 435,804 437,801 457,804 457,788 452,788 447,780 447,770 450,766 457,766 457,756 449,755 443,735 421,722 420,714 404,714 399,775"
3.1,"431,1023 457,1023 457,1020 437,1018 431,1023"
4,"13,325 13,331 20,331 17,325 13,325"
5,"388,650 388,668 406,671 415,676 437,695 459,708 463,712 463,719 471,719 471,714 477,708 483,708 483,695 464,692 430,664 416,660 414,650 388,650"
6.0,"438,785 441,782 443,778 439,771 438,759 413,759 413,785 438,785"
6.1,"413,819 425,819 424,810 413,813 413,819"
6.2,"450,809 504,865 511,867 512,863 523,863 544,875 553,876 553,848 548,848 539,858 532,858 523,851 516,840 511,840 508,845 501,845 489,828 486,816 456,792 452,794 450,809"
6.3,"419,854 419,837 413,837 413,854 419,854"
7,"4,874 4,1007 11,1007 12,1008 12,1009 31,1009 31,1008 32,1007 51,1007 52,1008 52,1009 59,1009 60,1010 60,1011 67,1011 68,1012 95,1012 96,1013 96,1014 100,1014 101,1015 101,1020 118,1020 118,967 112,967 111,966 111,965 110,964 109,964 108,963 108,960 107,959 106,959 105,958 105,957 104,957 103,956 103,954 102,953 102,951 101,951 100,950 100,949 99,948 98,948 97,947 97,944 96,944 95,943 95,941 94,940 93,940 92,939 92,936 91,935 91,933 90,933 89,932 89,930 88,930 87,929 87,928 86,927 85,927 84,926 84,924 83,923 83,922 82,922 81,921 81,920 80,920 79,919 79,917 78,916 78,914 77,914 76,913 76,912 75,911 75,909 74,909 73,908 72,908 71,907 71,903 70,902 70,901 69,901 68,900 68,898 67,897 67,896 66,896 65,895 65,893 64,893 63,892 63,890 62,889 62,888 61,888 59,886 59,884 58,884 57,883 57,880 56,880 55,879 55,874 4,874"
