polygon_id,image_coordinates,original_coordinates,geocoordinates
0.0,"[[651.0, 217.49755859375], [610.0, 221.49365234375], [624.3003921508789, 234.98662185668945], [651.0, 217.49755859375]]","[(np.float64(559196.4617657725), np.float64(5936384.347770245)), (np.float64(559192.334919541), np.float64(5936384.749996207)), (np.float64(559193.7743224546), np.float64(5936386.108128167)), (np.float64(559196.4617657725), np.float64(5936384.347770245))]","[(9.893966575003114, 53.57297858957091), (9.893904337236128, 53.57298267021572), (9.893926329207748, 53.57299471396988), (9.893966575003114, 53.57297858957091)]"
0.1,"[[565.1429138183594, 451.3888854980469], [598.8955154418945, 456.6485605239868], [824.8597412109375, 282.80438232421875], [859.8068180084229, 248.8351821899414], [840.0, 221.49951171875], [661.1402587890625, 354.19561767578125], [565.1429138183594, 451.3888854980469]]","[(np.float64(559187.8198391249), np.float64(5936407.890051733)), (np.float64(559191.2172000228), np.float64(5936408.419463198)), (np.float64(559213.9615808412), np.float64(5936390.921214621)), (np.float64(559217.4791713823), np.float64(5936387.502052045)), (np.float64(559215.4855203516), np.float64(5936384.750585981)), (np.float64(559197.4824313523), np.float64(5936398.107084147)), (np.float64(559187.8198391249), np.float64(5936407.890051733))]","[(9.893840547248939, 53.57319115011172), (9.89389194689151, 53.573195524866996), (9.894232062965015, 53.573035693225314), (9.894284529055495, 53.57300456656863), (9.894253903781115, 53.572980062899546), (9.893984595239763, 53.57310213576822), (9.893840547248939, 53.57319115011172)]"
0.2,"[[872.1882514953613, 467.35232162475586], [873.0, 464.49658203125], [864.5141258239746, 466.6562957763672], [872.1882514953613, 467.35232162475586]]","[(np.float64(559218.7254219218), np.float64(5936409.496847982)), (np.float64(559218.807128294), np.float64(5936409.209404124)), (np.float64(559217.9529844436), np.float64(5936409.426789649)), (np.float64(559218.7254219218), np.float64(5936409.496847982))]","[(9.894307518374855, 53.57320210335789), (9.89430869760601, 53.57319951074303), (9.894295841477222, 53.573201560904955), (9.894307518374855, 53.57320210335789)]"
0.3,"[[487.0, 559.9990234375], [482.0, 562.49658203125], [483.52263259887695, 565.904468536377], [487.0, 559.9990234375]]","[(np.float64(559179.9543808467), np.float64(5936418.822181939)), (np.float64(559179.4511069161), np.float64(5936419.073573165)), (np.float64(559179.6043671747), np.float64(5936419.416593252)), (np.float64(559179.9543808467), np.float64(5936418.822181939))]","[(9.893723852776464, 53.573290289614285), (9.893716301095596, 53.57329260575794), (9.893718680304074, 53.573295671350515), (9.893723852776464, 53.573290289614285)]"
1,"[[284.0, 511.9970703125], [82.1282262802124, 698.6304264068604], [82.21436977386475, 723.4558620452881], [106.86823272705078, 722.7524642944336], [314.8434028625488, 539.3862762451172], [284.0, 511.9970703125]]","[(np.float64(559159.5214592618), np.float64(5936413.990555613)), (np.float64(559139.2020990517), np.float64(5936432.776096156)), (np.float64(559139.2107698066), np.float64(5936435.274895071)), (np.float64(559141.6922991095), np.float64(5936435.20409472)), (np.float64(559162.6259953805), np.float64(5936416.747410279)), (np.float64(559159.5214592618), np.float64(5936413.990555613))]","[(9.893414404686183, 53.57324917014412), (9.893111145001578, 53.57342029559944), (9.893111749201637, 53.5734427524967), (9.893149206482558, 53.573441836428074), (9.89346180481169, 53.57327359717854), (9.893414404686183, 53.57324917014412)]"
2,"[[404.0, 601.49755859375], [159.06952095031738, 807.4019050598145], [159.1926736831665, 834.391414642334], [205.83614921569824, 818.8228597640991], [436.8321762084961, 630.0188522338867], [404.0, 601.49755859375]]","[(np.float64(559171.6000335977), np.float64(5936422.99920812)), (np.float64(559146.9466086115), np.float64(5936443.724466077)), (np.float64(559146.9590045235), np.float64(5936446.441089392)), (np.float64(559151.6538935777), np.float64(5936444.874039831)), (np.float64(559174.9047492723), np.float64(5936425.870012831)), (np.float64(559171.6000335977), np.float64(5936422.99920812))]","[(9.893598495511743, 53.57332877287475), (9.893230159679069, 53.57351782060987), (9.893230861455239, 53.57354223477558), (9.89330145682029, 53.57352762161426), (9.893648940099279, 53.57335420137725), (9.893598495511743, 53.57332877287475)]"
3,"[[255.0, 487.49658203125], [155.44178009033203, 590.553653717041], [57.25259494781494, 655.5474891662598], [57.401893615722656, 682.2906379699707], [93.81640815734863, 690.9223651885986], [227.48583984375, 571.5140600204468], [285.75793075561523, 510.67612075805664], [255.0, 487.49658203125]]","[(np.float64(559156.6024704638), np.float64(5936411.524464205)), (np.float64(559146.5814591311), np.float64(5936421.897651715)), (np.float64(559136.6982477), np.float64(5936428.439592322)), (np.float64(559136.7132753255), np.float64(5936431.131418245)), (np.float64(559140.3785704989), np.float64(5936432.000242903)), (np.float64(559153.8330385578), np.float64(5936419.981225483)), (np.float64(559159.698403406), np.float64(5936413.8575957185)), (np.float64(559156.6024704638), np.float64(5936411.524464205))]","[(9.893369861421357, 53.5732273353929), (9.89322051145504, 53.57332169399396), (9.893072515972047, 53.573381603667436), (9.893073252696242, 53.573405794672574), (9.893128762571244, 53.573413190016595), (9.893329645754966, 53.5733036525447), (9.893417051310655, 53.573247955217475), (9.893369861421357, 53.5732273353929)]"
4,"[[967.0, 413.49951171875], [669.453254699707, 445.2048873901367], [638.8900833129883, 469.124755859375], [637.994234085083, 497.1192932128906], [721.8804626464844, 501.7633361816406], [1011.1249208450317, 461.3354845046997], [1011.9060745239258, 429.4467658996582], [967.0, 413.49951171875]]","[(np.float64(559228.2686781905), np.float64(5936404.076304918)), (np.float64(559198.3191741777), np.float64(5936407.267602726)), (np.float64(559195.2428446983), np.float64(5936409.675251971)), (np.float64(559195.1526731858), np.float64(5936412.493036141)), (np.float64(559203.5962235812), np.float64(5936412.960481293)), (np.float64(559232.7100626612), np.float64(5936408.891224529)), (np.float64(559232.7886895178), np.float64(5936405.681472377)), (np.float64(559228.2686781905), np.float64(5936404.076304918))]","[(9.894450590949937, 53.57315230906666), (9.893998966525013, 53.57318437119803), (9.893952971175906, 53.57320635699798), (9.89395214379555, 53.57323169191222), (9.894079728003696, 53.57323494024312), (9.89451856802709, 53.57319508153472), (9.894519146391962, 53.57316622512287), (9.894450590949937, 53.57315230906666)]"
5.0,"[[364.3589458465576, 168.83929634094238], [374.7490234375, 169.87646484375], [369.0, 157.9990234375], [364.3589458465576, 168.83929634094238]]","[(np.float64(559167.6099717699), np.float64(5936379.450083264)), (np.float64(559168.6557828076), np.float64(5936379.554479238)), (np.float64(559168.077116083), np.float64(5936378.358957914)), (np.float64(559167.6099717699), np.float64(5936379.450083264))]","[(9.893529994364325, 53.57293782657944), (9.893545805533872, 53.57293864688337), (9.893536841329023, 53.572927967439355), (9.893529994364325, 53.57293782657944)]"
5.1,"[[490.64273834228516, 264.343469619751], [570.9771270751953, 270.6805467605591], [574.7068185806274, 244.32888889312744], [614.8576068878174, 240.76064109802246], [604.2286701202393, 221.0857334136963], [625.515251159668, 199.48497772216797], [746.8211116790771, 112.8385124206543], [732.0, 83.49658203125], [541.1599216461182, 205.18005847930908], [490.64273834228516, 264.343469619751]]","[(np.float64(559180.3210398955), np.float64(5936389.063035401)), (np.float64(559188.4070806125), np.float64(5936389.700892544)), (np.float64(559188.7824919133), np.float64(5936387.048472058)), (np.float64(559192.8238609234), np.float64(5936386.6893108385)), (np.float64(559191.7540075663), np.float64(5936384.708937214)), (np.float64(559193.8966038283), np.float64(5936382.534717769)), (np.float64(559206.1066192755), np.float64(5936373.813336335)), (np.float64(559204.6148034493), np.float64(5936370.8599306075)), (np.float64(559185.405836177), np.float64(5936383.107954905)), (np.float64(559180.3210398955), np.float64(5936389.063035401))]","[(9.893723749033617, 53.573022788913725), (9.893845966615912, 53.573027609398736), (9.893851132431612, 53.57300372850278), (9.893912087720143, 53.573000044573), (9.893895557873005, 53.572982366743986), (9.893927498204615, 53.572962584266286), (9.894110211677626, 53.57288282330032), (9.89408712582789, 53.572856448025604), (9.893799399115652, 53.57296869419396), (9.893723749033617, 53.573022788913725)]"
