polygon_id,image_coordinates,original_coordinates,geocoordinates
0,"[[285.0, 784.0], [285.0, 854.0], [292.0, 855.0], [295.0, 866.0], [296.0, 887.0], [300.0, 896.0], [311.0, 967.0], [312.0, 1001.0], [317.0, 1020.0], [399.0, 1020.0], [398.0, 980.0], [393.0, 964.0], [390.0, 920.0], [383.0, 886.0], [379.0, 816.0], [375.0, 804.0], [374.0, 784.0], [285.0, 784.0]]","[(565951.2987090676, 5939467.699297109), (565951.2987090676, 5939464.765189619), (565951.5921198166, 5939464.723273798), (565951.7178672805, 5939464.262199763), (565951.7597831017, 5939463.381967517), (565951.9274463869, 5939463.004725125), (565952.3885204211, 5939460.028701813), (565952.4304362424, 5939458.603563889), (565952.6400153489, 5939457.807163285), (565956.0771126946, 5939457.807163285), (565956.0351968734, 5939459.483796136), (565955.8256177668, 5939460.154449277), (565955.699870303, 5939461.9987454135), (565955.406459554, 5939463.4238833375), (565955.2387962688, 5939466.357990827), (565955.0711329837, 5939466.860980683), (565955.0292171624, 5939467.699297109), (565951.2987090676, 5939467.699297109)]","[(9.996611700872457, 53.59988354883709), (9.996611080158827, 53.59985717954409), (9.99661550437752, 53.59985676591799), (9.996617306730286, 53.5998526063482), (9.996617753813078, 53.599844690285714), (9.996620207197696, 53.599841278849674), (9.996626543883394, 53.59981447483166), (9.996626875687241, 53.59980166161464), (9.996629873691015, 53.59979447786189), (9.996681804049944, 53.599794045329915), (9.996681525470398, 53.59980911877211), (9.99667850087065, 53.599815172413564), (9.996676991166334, 53.59983176322223), (9.99667285959068, 53.59984460808856), (9.99667094714968, 53.59987099848062), (9.996668520371015, 53.599875540030204), (9.996668064429619, 53.59988307938863), (9.996611700872457, 53.59988354883709)]"
1,"[[304.0, 266.0], [304.0, 367.0], [391.0, 367.0], [392.0, 361.0], [426.0, 356.0], [574.0, 347.0], [652.0, 339.0], [722.0, 327.0], [831.0, 321.0], [886.0, 303.0], [899.0, 294.0], [906.0, 284.0], [911.0, 284.0], [911.0, 266.0], [720.0, 266.0], [719.0, 272.0], [710.0, 274.0], [497.0, 288.0], [428.0, 287.0], [410.0, 284.0], [392.0, 276.0], [388.0, 266.0], [304.0, 266.0]]","[(565952.095109672, 5939489.411692537), (565952.095109672, 5939485.178194587), (565955.7417861243, 5939485.178194587), (565955.7837019456, 5939485.429689514), (565957.2088398695, 5939485.639268621), (565963.4123814203, 5939486.016511013), (565966.6818154809, 5939486.351837583), (565969.6159229712, 5939486.8548274385), (565974.1847474917, 5939487.106322366), (565976.4901176627, 5939487.86080715), (565977.0350233394, 5939488.238049541), (565977.3284340885, 5939488.6572077535), (565977.5380131949, 5939488.6572077535), (565977.5380131949, 5939489.411692537), (565969.5320913286, 5939489.411692537), (565969.4901755073, 5939489.160197609), (565969.1129331157, 5939489.076365966), (565960.184863181, 5939488.489544469), (565957.292671512, 5939488.53146029), (565956.5381867288, 5939488.6572077535), (565955.7837019456, 5939488.9925343245), (565955.6160386604, 5939489.411692537), (565952.095109672, 5939489.411692537)]","[(9.99662832690896, 53.60007858138376), (9.996627431286868, 53.6000405342624), (9.996682528451268, 53.600040075355466), (9.996683214960191, 53.60004233030553), (9.99670479152721, 53.6000440344764), (9.996798599862933, 53.600046644068776), (9.996848068281304, 53.600049246198644), (9.996892505778145, 53.60005339733311), (9.996961588797072, 53.600055082448556), (9.996996580021234, 53.60006157291496), (9.997004892772225, 53.600064894656015), (9.997009414588922, 53.60006862476069), (9.997012581094397, 53.60006859837729), (9.997012740771908, 53.60007537905159), (9.996891780239816, 53.60007638683784), (9.996891093719224, 53.60007413188904), (9.996885376268727, 53.600073425965014), (9.996750358949475, 53.600069275821724), (9.99670667003754, 53.600070016513534), (9.99669529722081, 53.6000712415767), (9.996683968743652, 53.600074350159616), (9.996681524218952, 53.60007813830103), (9.99662832690896, 53.60007858138376)]"
2.0,"[[444.0, 316.0], [447.0, 316.0], [447.0, 311.0], [444.0, 311.0], [444.0, 316.0]]","[(565957.9633246526, 5939487.315901472), (565958.0890721165, 5939487.315901472), (565958.0890721165, 5939487.525480579), (565957.9633246526, 5939487.525480579), (565957.9633246526, 5939487.315901472)]","[(9.996716545674534, 53.60005900769132), (9.996718445577558, 53.60005899186595), (9.996718489919317, 53.60006087538677), (9.996716590016208, 53.60006089121214), (9.996716545674534, 53.60005900769132)]"
2.1,"[[328.0, 334.0], [331.0, 335.0], [339.0, 311.0], [325.0, 311.0], [325.0, 324.0], [328.0, 334.0]]","[(565953.101089383, 5939486.561416689), (565953.2268368469, 5939486.519500868), (565953.5621634172, 5939487.525480579), (565952.9753419192, 5939487.525480579), (565952.9753419192, 5939486.980574902), (565953.101089383, 5939486.561416689)]","[(9.996642923138022, 53.60005283890755), (9.996644814173118, 53.600052446379195), (9.996650093406291, 53.60006144508124), (9.996641227191471, 53.60006151892765), (9.996641111911845, 53.60005662177344), (9.996642923138022, 53.60005283890755)]"
2.2,"[[751.0, 319.0], [725.0, 320.0], [715.0, 324.0], [693.0, 325.0], [636.0, 335.0], [487.0, 348.0], [404.0, 349.0], [384.0, 352.0], [363.0, 367.0], [338.0, 364.0], [330.0, 354.0], [327.0, 388.0], [324.0, 392.0], [318.0, 390.0], [318.0, 356.0], [304.0, 352.0], [304.0, 457.0], [411.0, 457.0], [411.0, 452.0], [416.0, 446.0], [434.0, 436.0], [482.0, 423.0], [523.0, 422.0], [618.0, 412.0], [668.0, 411.0], [690.0, 407.0], [737.0, 406.0], [786.0, 399.0], [883.0, 395.0], [911.0, 390.0], [911.0, 311.0], [759.0, 311.0], [759.0, 316.0], [751.0, 319.0]]","[(565970.8314817885, 5939487.190154009), (565969.7416704351, 5939487.148238188), (565969.3225122221, 5939486.980574902), (565968.4003641538, 5939486.938659081), (565966.0111623403, 5939486.519500868), (565959.7657049681, 5939485.974595191), (565956.286691801, 5939485.93267937), (565955.4483753752, 5939485.806931906), (565954.5681431282, 5939485.178194587), (565953.520247596, 5939485.303942051), (565953.1849210256, 5939485.723100264), (565953.0591735617, 5939484.29796234), (565952.9334260979, 5939484.130299055), (565952.6819311702, 5939484.214130697), (565952.6819311702, 5939485.639268621), (565952.095109672, 5939485.806931906), (565952.095109672, 5939481.405770671), (565956.5801025501, 5939481.405770671), (565956.5801025501, 5939481.615349777), (565956.7896816565, 5939481.866844705), (565957.5441664398, 5939482.286002918), (565959.5561258617, 5939482.830908595), (565961.2746745346, 5939482.872824416), (565965.256677557, 5939483.291982628), (565967.3524686216, 5939483.33389845), (565968.2746166899, 5939483.501561736), (565970.2446602905, 5939483.543477557), (565972.2985355337, 5939483.836888306), (565976.3643701988, 5939484.00455159), (565977.5380131949, 5939484.214130697), (565977.5380131949, 5939487.525480579), (565971.1668083589, 5939487.525480579), (565971.1668083589, 5939487.315901472), (565970.8314817885, 5939487.190154009)]","[(9.996910942464377, 53.60005625795937), (9.996894467770224, 53.600056018433946), (9.996888099281485, 53.60005456437781), (9.99687415779171, 53.60005430374546), (9.996837970945535, 53.600050837427844), (9.99674349382336, 53.60004672632501), (9.996690920986568, 53.60004678745598), (9.996678228365957, 53.60004576284247), (9.996664796030709, 53.60004022305243), (9.9966489901154, 53.60004148503499), (9.996644012386154, 53.60004529427468), (9.996641810983125, 53.60003250215703), (9.996639875610672, 53.600031011164496), (9.99663609354226, 53.600031796221046), (9.996636395041104, 53.60004460416291), (9.996627564299922, 53.600046184825), (9.996626633209502, 53.6000066308867), (9.996694396334252, 53.600006066481036), (9.996694440674855, 53.600007950001874), (9.996697660384994, 53.60001018385186), (9.996709148472556, 53.60001385594267), (9.996739662179197, 53.60001849988921), (9.996765636364096, 53.60001866030575), (9.996825888593671, 53.600021926171394), (9.996857562484621, 53.600022039086575), (9.996871530572793, 53.60002342983338), (9.996901304563508, 53.60002355856478), (9.996932398376643, 53.600025936961096), (9.996993864004638, 53.60002693196469), (9.997011640772605, 53.60002866773965), (9.997012341578255, 53.60005842736584), (9.996916079832674, 53.600059229383184), (9.99691603548213, 53.600057345862496), (9.996910942464377, 53.60005625795937)]"
3,"[[125.0, 29.0], [125.0, 199.0], [131.0, 199.0], [133.0, 205.0], [141.0, 295.0], [151.0, 344.0], [154.0, 412.0], [160.0, 465.0], [164.0, 476.0], [170.0, 551.0], [178.0, 592.0], [180.0, 630.0], [267.0, 630.0], [267.0, 605.0], [260.0, 582.0], [259.0, 540.0], [247.0, 476.0], [241.0, 396.0], [233.0, 350.0], [227.0, 272.0], [223.0, 257.0], [219.0, 202.0], [215.0, 188.0], [214.0, 157.0], [209.0, 134.0], [206.0, 85.0], [199.0, 55.0], [198.0, 29.0], [125.0, 29.0]]","[(565944.5921776613, 5939499.345742183), (565944.5921776613, 5939492.220052564), (565944.8436725889, 5939492.220052564), (565944.9275042316, 5939491.968557636), (565945.2628308019, 5939488.19613372), (565945.6819890147, 5939486.1422584765), (565945.8077364786, 5939483.291982628), (565946.0592314064, 5939481.070444101), (565946.2268946916, 5939480.609370066), (565946.4783896193, 5939477.46568347), (565946.8137161896, 5939475.747134796), (565946.8975478322, 5939474.154333588), (565950.5442242844, 5939474.154333588), (565950.5442242844, 5939475.20222912), (565950.2508135353, 5939476.166293009), (565950.208897714, 5939477.926757504), (565949.7059078586, 5939480.609370066), (565949.4544129309, 5939483.9626357695), (565949.1190863606, 5939485.890763549), (565948.8675914328, 5939489.160197609), (565948.6999281476, 5939489.788934928), (565948.5322648624, 5939492.0943051), (565948.3646015773, 5939492.681126597), (565948.322685756, 5939493.980517058), (565948.1131066496, 5939494.944580947), (565947.9873591857, 5939496.99845619), (565947.6939484366, 5939498.255930829), (565947.6520326154, 5939499.345742183), (565944.5921776613, 5939499.345742183)]","[(9.996517067347213, 53.60016880438394), (9.996515560028973, 53.60010476467335), (9.996519359839354, 53.60010473302893), (9.996520573243183, 53.600102462255684), (9.996524841659081, 53.60006851668651), (9.996530740203472, 53.600050005440316), (9.996532037171399, 53.600024373733355), (9.996535367038927, 53.600004376766634), (9.996537802705841, 53.600000211923934), (9.99654093750048, 53.59997192746485), (9.996545640360221, 53.59995644039959), (9.996546570021296, 53.59994211509201), (9.996601667058982, 53.5999416562229), (9.9966018887409, 53.59995107382745), (9.996597659591549, 53.599959774945084), (9.996597398716204, 53.59997560179519), (9.996590366618689, 53.599999774156316), (9.996587276191137, 53.60002994213731), (9.996582617674518, 53.600047312724875), (9.996579509504162, 53.60007672729711), (9.996577109305457, 53.60008239895731), (9.996575063789544, 53.600103138784505), (9.996572654721723, 53.600108433740424), (9.996572296299037, 53.6001201168442), (9.996569333731314, 53.60012880741197), (9.996567868309787, 53.60014728173952), (9.996563701203389, 53.600158619785), (9.996563298442954, 53.60016841936781), (9.996517067347213, 53.60016880438394)]"
4,"[[202.0, 61.0], [207.0, 90.0], [213.0, 177.0], [220.0, 210.0], [224.0, 273.0], [239.0, 375.0], [245.0, 457.0], [260.0, 546.0], [260.0, 587.0], [266.0, 612.0], [264.0, 649.0], [356.0, 649.0], [358.0, 618.0], [350.0, 579.0], [350.0, 543.0], [337.0, 505.0], [332.0, 470.0], [334.0, 444.0], [331.0, 421.0], [324.0, 399.0], [324.0, 357.0], [319.0, 337.0], [318.0, 301.0], [307.0, 254.0], [310.0, 228.0], [324.0, 214.0], [324.0, 205.0], [313.0, 183.0], [303.0, 143.0], [299.0, 101.0], [295.0, 91.0], [294.0, 61.0], [202.0, 61.0]]","[(565947.8196959005, 5939498.0044359015), (565948.029275007, 5939496.788877084), (565948.2807699348, 5939493.142200632), (565948.5741806838, 5939491.758978529), (565948.741843969, 5939489.118281788), (565949.3705812882, 5939484.842868016), (565949.622076216, 5939481.405770671), (565950.2508135353, 5939477.675262576), (565950.2508135353, 5939475.956713903), (565950.5023084631, 5939474.908818371), (565950.4184768205, 5939473.357932983), (565954.2747323791, 5939473.357932983), (565954.3585640218, 5939474.657323443), (565954.0232374514, 5939476.292040474), (565954.0232374514, 5939477.80101004), (565953.4783317747, 5939479.393811249), (565953.2687526682, 5939480.860864994), (565953.3525843108, 5939481.950676347), (565953.2268368469, 5939482.914740237), (565952.9334260979, 5939483.836888306), (565952.9334260979, 5939485.5973528), (565952.7238469914, 5939486.435669226), (565952.6819311702, 5939487.944638792), (565952.220857136, 5939489.914682393), (565952.3466045999, 5939491.004493746), (565952.9334260979, 5939491.591315244), (565952.9334260979, 5939491.968557636), (565952.4723520637, 5939492.890705704), (565952.0531938508, 5939494.567338556), (565951.8855305656, 5939496.32780305), (565951.7178672805, 5939496.746961263), (565951.6759514592, 5939498.0044359015), (565947.8196959005, 5939498.0044359015)]","[(9.996565547908835, 53.600156343737005), (9.996568457276918, 53.600145392944306), (9.99657148565583, 53.60011258803506), (9.996575626154486, 53.600100119876714), (9.996577600733161, 53.60007636641611), (9.996586195800415, 53.60003786347391), (9.996589268494875, 53.600006942084626), (9.996597978812474, 53.59997333629562), (9.996597615255329, 53.59995789142418), (9.996601193370575, 53.59994844217268), (9.996599598683305, 53.599934514666906), (9.996657862205971, 53.599934029399456), (9.996659403705637, 53.59994569667931), (9.996654683153205, 53.59996043034053), (9.996655002392401, 53.59997399169082), (9.996647106467863, 53.59998837502142), (9.996644250336445, 53.600001586041216), (9.996645747496613, 53.60001136980024), (9.996644051552192, 53.600020049820436), (9.996639813537174, 53.600028374235286), (9.996640185978297, 53.60004419581051), (9.996637196826766, 53.60005175626748), (9.996636882760308, 53.60006532289233), (9.996630333223797, 53.60008308600983), (9.996632463685406, 53.600092864494236), (9.996641454054298, 53.600098064506795), (9.996641533863414, 53.60010145484431), (9.996634762632826, 53.60010980035777), (9.996628784317808, 53.600124921271245), (9.996626623547128, 53.60014076394489), (9.996624179013523, 53.60014455208512), (9.996623811737342, 53.60015585848476), (9.996565547908835, 53.600156343737005)]"
5,"[[220.0, 740.0], [218.0, 759.0], [212.0, 764.0], [202.0, 765.0], [202.0, 879.0], [207.0, 879.0], [210.0, 887.0], [221.0, 990.0], [226.0, 998.0], [239.0, 1007.0], [239.0, 1014.0], [311.0, 1014.0], [305.0, 933.0], [295.0, 883.0], [291.0, 834.0], [286.0, 817.0], [286.0, 794.0], [291.0, 785.0], [294.0, 765.0], [298.0, 759.0], [310.0, 756.0], [311.0, 740.0], [220.0, 740.0]]","[(565948.5741806838, 5939469.543593246), (565948.4903490412, 5939468.747192642), (565948.2388541135, 5939468.537613535), (565947.8196959005, 5939468.495697713), (565947.8196959005, 5939463.717294087), (565948.029275007, 5939463.717294087), (565948.1550224709, 5939463.381967517), (565948.6160965051, 5939459.064637924), (565948.8256756115, 5939458.7293113535), (565949.3705812882, 5939458.352068962), (565949.3705812882, 5939458.058658212), (565952.3885204211, 5939458.058658212), (565952.1370254934, 5939461.453839737), (565951.7178672805, 5939463.549630801), (565951.5502039953, 5939465.6035060445), (565951.3406248889, 5939466.3160750065), (565951.3406248889, 5939467.280138896), (565951.5502039953, 5939467.657381288), (565951.6759514592, 5939468.495697713), (565951.8436147444, 5939468.747192642), (565952.3466045999, 5939468.872940105), (565952.3885204211, 5939469.543593246), (565948.5741806838, 5939469.543593246)]","[(9.996570926623018, 53.599900466660266), (9.99656949155318, 53.59989331982934), (9.996565647427136, 53.59989146795432), (9.996559305574932, 53.599891143993055), (9.996558294751813, 53.59984819971518), (9.996561461241239, 53.5998481733438), (9.996563290199672, 53.59984514388738), (9.99656934317972, 53.599806285338026), (9.996572438730242, 53.59980324533282), (9.996580591790584, 53.59979978642836), (9.996580529721305, 53.59979714949901), (9.996626127113267, 53.59979676973482), (9.996623045591596, 53.59982731442174), (9.99661715598478, 53.59984620237704), (9.996615057294207, 53.599864681980456), (9.996612041548412, 53.599871112324436), (9.996612245497367, 53.59987977652069), (9.996615491795499, 53.59988314048553), (9.99661756903863, 53.59989065874549), (9.9966201554372, 53.599892897872216), (9.996627781622163, 53.59989396468936), (9.996628556800692, 53.59989998668163), (9.996570926623018, 53.599900466660266)]"
