polygon_id,image_coordinates,original_coordinates,geocoordinates
0,"[[324.0, 647.49658203125], [158.80074214935303, 912.2788391113281], [159.77928924560547, 942.810302734375], [202.4628200531006, 953.9666423797607], [378.7883367538452, 684.4751148223877], [350.0, 647.49658203125], [324.0, 647.49658203125]]","[(np.float64(569868.1079999256), np.float64(5937614.67522325)), (np.float64(569851.9048080642), np.float64(5937640.645786125)), (np.float64(569852.000786621), np.float64(5937643.640394996)), (np.float64(569856.1873032434), np.float64(5937644.734639087)), (np.float64(569873.4817887897), np.float64(5937618.302178173)), (np.float64(569870.6581505369), np.float64(5937614.67522325)), (np.float64(569868.1079999256), np.float64(5937614.67522325))]","[(10.055374086757473, 53.58272289898645), (10.055135192438332, 53.58295845542725), (10.055137312252848, 53.58298535525559), (10.055200784115417, 53.58299463160123), (10.05545605603652, 53.58275477854507), (10.055412600196448, 53.58272255923249), (10.055374086757473, 53.58272289898645)]"
1,"[[263.0, 647.99609375], [126.00777244567871, 856.7674446105957], [149.08399868011475, 923.9213533401489], [309.74624156951904, 682.7518634796143], [263.0, 647.99609375]]","[(np.float64(569862.1249542607), np.float64(5937614.724216716)), (np.float64(569848.688384536), np.float64(5937635.201077794)), (np.float64(569850.9517634759), np.float64(5937641.78771554)), (np.float64(569866.7099525882), np.float64(5937618.133157002)), (np.float64(569862.1249542607), np.float64(5937614.724216716))]","[(10.05528373926928, 53.58272413635816), (10.055085397737297, 53.58290995212624), (10.055121054679566, 53.58296884491241), (10.055353747021224, 53.58275416176342), (10.05528373926928, 53.58272413635816)]"
2,"[[698.0, 121.49755859375], [523.2197208404541, 355.7621898651123], [523.7040109634399, 374.0407991409302], [561.5218639373779, 405.47468185424805], [744.400372505188, 157.69820594787598], [723.0, 122.99609375], [698.0, 121.49755859375]]","[(np.float64(569904.7909356423), np.float64(5937563.083810513)), (np.float64(569887.6480111906), np.float64(5937586.061121768)), (np.float64(569887.695511681), np.float64(5937587.853937408)), (np.float64(569891.4047894073), np.float64(5937590.937057992)), (np.float64(569909.3420101927), np.float64(5937566.63446832)), (np.float64(569907.2430035378), np.float64(5937563.23079091)), (np.float64(569904.7909356423), np.float64(5937563.083810513))]","[(10.055916531338353, 53.58225435754013), (10.055662780185946, 53.58246313987484), (10.055663899041477, 53.58247924561497), (10.055720608253834, 53.58250645935947), (10.055986058173325, 53.58228566071927), (10.055953595999194, 53.58225535160364), (10.055916531338353, 53.58225435754013)]"
3,"[[660.0, 82.9970703125], [465.4769802093506, 347.24608993530273], [465.75182151794434, 373.22131729125977], [501.2036323547363, 398.57239151000977], [704.7441501617432, 115.79741096496582], [692.0, 83.49658203125], [660.0, 82.9970703125]]","[(np.float64(569901.0637924412), np.float64(5937559.307578062)), (np.float64(569881.9844463706), np.float64(5937585.225839559)), (np.float64(569882.0114035525), np.float64(5937587.773560402)), (np.float64(569885.4886134402), np.float64(5937590.260062611)), (np.float64(569905.452420206), np.float64(5937562.524724552)), (np.float64(569904.2024393474), np.float64(5937559.356571527)), (np.float64(569901.0637924412), np.float64(5937559.307578062))]","[(10.055859397287763, 53.58222091725746), (10.05557706015572, 53.58245638788712), (10.055578037768406, 53.58247928071408), (10.0556311085547, 53.582501163603276), (10.05592639600889, 53.58224924485113), (10.055906808848468, 53.58222093921262), (10.055859397287763, 53.58222091725746)]"
4,"[[152.0, 218.49658203125], [113.4254732131958, 261.9527130126953], [277.8404207229614, 381.9053621292114], [299.5862522125244, 335.5984916687012], [152.0, 218.49658203125]]","[(np.float64(569851.2377728047), np.float64(5937572.597738164)), (np.float64(569847.4542784559), np.float64(5937576.860033509)), (np.float64(569863.5805430291), np.float64(5937588.625315105)), (np.float64(569865.7134332394), np.float64(5937584.083411489)), (np.float64(569851.2377728047), np.float64(5937572.597738164))]","[(10.055109887464024, 53.582346995010774), (10.055053702007614, 53.582385804272555), (10.055299879493525, 53.582489391074624), (10.055331074309501, 53.58244828875008), (10.055109887464024, 53.582346995010774)]"
5,"[[106.0, 255.9970703125], [76.00488471984863, 278.7138195037842], [76.14960193634033, 307.2747678756714], [274.4068670272827, 461.6463499069214], [309.6378364562988, 407.0776252746582], [106.0, 255.9970703125]]","[(np.float64(569846.725967877), np.float64(5937576.275887898)), (np.float64(569843.7839655089), np.float64(5937578.504008354)), (np.float64(569843.7981597666), np.float64(5937581.305343737)), (np.float64(569863.2437707577), np.float64(5937596.446527747)), (np.float64(569866.6993199203), np.float64(5937591.094279037)), (np.float64(569846.725967877), np.float64(5937576.275887898))]","[(10.05504257210578, 53.58238065154302), (10.05499863976635, 53.58240106753062), (10.054999481074443, 53.58242624130325), (10.05529654434134, 53.58255972534109), (10.055347533046369, 53.58251116422254), (10.05504257210578, 53.58238065154302)]"
6,"[[560.0, 639.9970703125], [529.3720207214355, 689.9519882202148], [643.8379287719727, 773.7441501617432], [674.7124900817871, 730.1460456848145], [560.0, 639.9970703125]]","[(np.float64(569891.2555208592), np.float64(5937613.939650773)), (np.float64(569888.2514454714), np.float64(5937618.83936479)), (np.float64(569899.4785726018), np.float64(5937627.057927598)), (np.float64(569902.5068334248), np.float64(5937622.781707106)), (np.float64(569891.2555208592), np.float64(5937613.939650773))]","[(10.055723505514855, 53.5827132040073), (10.055679234009652, 53.58275763817988), (10.055850631718323, 53.58283000225594), (10.055895408035498, 53.582791168145356), (10.055723505514855, 53.5827132040073)]"
7,"[[548.0, 595.49658203125], [536.861198425293, 624.0906238555908], [672.1877574920654, 725.9250354766846], [720.844259262085, 704.8047294616699], [707.46826171875, 676.4687652587891], [604.736686706543, 592.4313850402832], [597.1667108535767, 607.9507131576538], [548.0, 595.49658203125]]","[(np.float64(569890.0785282693), np.float64(5937609.574922027)), (np.float64(569888.9860043599), np.float64(5937612.379503306)), (np.float64(569902.2592007957), np.float64(5937622.367698962)), (np.float64(569907.0315626316), np.float64(5937620.296161989)), (np.float64(569905.7196084658), np.float64(5937617.516893664)), (np.float64(569895.6434165881), np.float64(5937609.274279182)), (np.float64(569894.9009327977), np.float64(5937610.796457032)), (np.float64(569890.0785282693), np.float64(5937609.574922027))]","[(10.055704752592282, 53.582674134961586), (10.055688880945578, 53.58269948538633), (10.055891575443589, 53.58278748045382), (10.055963185699044, 53.58276822737293), (10.055942749434205, 53.58274342491925), (10.055788728416594, 53.58267069142632), (10.05577785605144, 53.58268447022509), (10.055704752592282, 53.582674134961586)]"
