polygon_id,image_coordinates,original_coordinates,geocoordinates
0,"[[695.0, 578.48876953125], [775.5303478240967, 610.7726488113403], [1004.1683464050293, 654.6040916442871], [1022.5591163635254, 646.2690620422363], [1018.8386211395264, 626.2949628829956], [962.4037857055664, 613.1535682678223], [712.0536212921143, 568.1595792770386], [695.0, 578.48876953125]]","[(np.float64(567888.3034655225), np.float64(5934337.774735019)), (np.float64(567900.8544348812), np.float64(5934342.806303744)), (np.float64(567936.4885603006), np.float64(5934349.637605369)), (np.float64(567939.3548336554), np.float64(5934348.338558439)), (np.float64(567938.7749799379), np.float64(5934345.225517042)), (np.float64(567929.9793903319), np.float64(5934343.177379345)), (np.float64(567890.9613390332), np.float64(5934336.164890359)), (np.float64(567888.3034655225), np.float64(5934337.774735019))]","[(10.024761780517021, 53.55353299971106), (10.024952294704217, 53.55357659600747), (10.025491575911314, 53.55363337985835), (10.025534551970889, 53.55362133420609), (10.025525124175429, 53.553593431877005), (10.02539193444775, 53.5535761631285), (10.024801543986374, 53.5535181880842), (10.024761780517021, 53.55353299971106)]"
1,"[[695.0, 550.48486328125], [701.3945007324219, 565.8259868621826], [1022.2573928833008, 625.6384048461914], [1020.1630687713623, 597.7850093841553], [992.485782623291, 589.1901588439941], [721.0, 537.49755859375], [695.0, 550.48486328125]]","[(np.float64(567888.3034655225), np.float64(5934333.410216812)), (np.float64(567889.3000734464), np.float64(5934335.801190863)), (np.float64(567939.3078088722), np.float64(5934345.123189907)), (np.float64(567938.9814002763), np.float64(5934340.782129394)), (np.float64(567934.6677870887), np.float64(5934339.442588355)), (np.float64(567892.3556671104), np.float64(5934331.386094632)), (np.float64(567888.3034655225), np.float64(5934333.410216812))]","[(10.02476083272544, 53.55349377512276), (10.024776392913534, 53.55351513429311), (10.025533143491025, 53.55359244329353), (10.025527273867185, 53.55355347177392), (10.025461880981329, 53.55354199132991), (10.024821549596666, 53.5534750600058), (10.02476083272544, 53.55349377512276)]"
2,"[[682.0, 666.48388671875], [689.0186185836792, 682.8624391555786], [1022.316873550415, 733.0394878387451], [1019.2503576278687, 709.45578956604], [958.3756332397461, 696.1668319702148], [708.0, 652.49755859375], [682.0, 666.48388671875]]","[(np.float64(567886.2773647285), np.float64(5934351.489117849)), (np.float64(567887.3712438581), np.float64(5934354.041779241)), (np.float64(567939.3170791665), np.float64(5934361.862068331)), (np.float64(567938.8391506784), np.float64(5934358.186456809)), (np.float64(567929.3515870312), np.float64(5934356.115320845)), (np.float64(567890.3295663164), np.float64(5934349.309293963)), (np.float64(567886.2773647285), np.float64(5934351.489117849))]","[(10.024734180380632, 53.553656514953296), (10.024751243766211, 53.553679314656506), (10.025536921152224, 53.55374287689739), (10.025528909346905, 53.553709905477064), (10.025385270827877, 53.55369251958334), (10.024794863682656, 53.55363640053439), (10.024734180380632, 53.553656514953296)]"
3,"[[514.0, 725.9990234375], [376.2118215560913, 957.2437705993652], [373.11519050598145, 974.7295799255371], [391.1788024902344, 989.6890754699707], [546.8560190200806, 738.6779203414917], [544.7759304046631, 725.3017520904541], [533.52294921875, 739.9997367858887], [514.0, 725.9990234375]]","[(np.float64(567860.0939083145), np.float64(5934360.764784446)), (np.float64(567838.6190823343), np.float64(5934396.805181816)), (np.float64(567838.136460286), np.float64(5934399.5304135205)), (np.float64(567840.9517447923), np.float64(5934401.861909351)), (np.float64(567865.2146472547), np.float64(5934362.740840067)), (np.float64(567864.8904573165), np.float64(5934360.656111982)), (np.float64(567863.1366362307), np.float64(5934362.946850325)), (np.float64(567860.0939083145), np.float64(5934360.764784446))]","[(10.02434102752405, 53.5537432619508), (10.024024745086383, 53.554069937967974), (10.024018052568934, 53.55409449240811), (10.02406104785765, 53.55411508211464), (10.024418739947986, 53.55376035912304), (10.024413394625599, 53.55374166526216), (10.02438742280464, 53.55376247919252), (10.02434102752405, 53.5537432619508)]"
4,"[[125.0, 559.98828125], [144.41374683380127, 576.7572507858276], [501.70215606689453, 656.067211151123], [480.8056650161743, 629.2600584030151], [418.510684967041, 613.1276998519897], [151.0, 550.49755859375], [125.0, 559.98828125]]","[(np.float64(567799.4667384033), np.float64(5934334.891361634)), (np.float64(567802.4924467013), np.float64(5934337.504871056)), (np.float64(567858.1772412871), np.float64(5934349.865638262)), (np.float64(567854.9204415095), np.float64(5934345.687638764)), (np.float64(567845.2115254682), np.float64(5934343.173347651)), (np.float64(567803.5189399912), np.float64(5934333.4121954255)), (np.float64(567799.4667384033), np.float64(5934334.891361634))]","[(10.02342041586873, 53.55351856675599), (10.023466647199928, 53.55354166400698), (10.02430973489875, 53.553645557405545), (10.024259675742112, 53.5536084300405), (10.024112601200466, 53.5535870885207), (10.023481251569669, 53.55350474992076), (10.02342041586873, 53.55351856675599)]"
5,"[[429.0, 737.49560546875], [325.2035608291626, 960.3590707778931], [331.7162675857544, 986.7429819107056], [354.109091758728, 985.9770498275757], [370.87131118774414, 958.7572708129883], [383.16179370880127, 895.0240983963013], [453.9040832519531, 749.6841430664062], [429.0, 737.49560546875]]","[(np.float64(567846.8463262002), np.float64(5934362.5565716745)), (np.float64(567830.6692455992), np.float64(5934397.290713522)), (np.float64(567831.6842763938), np.float64(5934401.402749159)), (np.float64(567835.174285535), np.float64(5934401.283375652)), (np.float64(567837.7867429268), np.float64(5934397.041066739)), (np.float64(567839.7022626494), np.float64(5934387.108002798)), (np.float64(567850.7277248809), np.float64(5934364.456202883)), (np.float64(567846.8463262002), np.float64(5934362.5565716745))]","[(10.024141480624209, 53.55376107725703), (10.023904868611787, 53.55407532875326), (10.023921080076796, 53.554112153098025), (10.023973726711622, 53.554110629316256), (10.024012234305804, 53.5540721654582), (10.024038988456114, 53.55398264796221), (10.024200471971445, 53.55377764790016), (10.024141480624209, 53.55376107725703)]"
6,"[[125.0, 476.48779296875], [129.04033660888672, 488.8723030090332], [368.64767837524414, 544.8376502990723], [378.92274951934814, 538.1841840744019], [340.3344564437866, 521.68212890625], [392.85145568847656, 527.2325973510742], [164.0, 466.9970703125], [125.0, 476.48779296875]]","[(np.float64(567799.4667384033), np.float64(5934321.877484281)), (np.float64(567800.0964406503), np.float64(5934323.807658559)), (np.float64(567837.4401810648), np.float64(5934332.530076603)), (np.float64(567839.0415910496), np.float64(5934331.493107895)), (np.float64(567833.0274548006), np.float64(5934328.92119812)), (np.float64(567841.2124343287), np.float64(5934329.786260314)), (np.float64(567805.5450407851), np.float64(5934320.398318072)), (np.float64(567799.4667384033), np.float64(5934321.877484281))]","[(10.023417593503448, 53.553401609012724), (10.023427515656707, 53.55341887446664), (10.023993005036845, 53.55349244005885), (10.024016948746064, 53.55348291372865), (10.023925624416677, 53.553460576693865), (10.024049341049047, 53.553467293504596), (10.023509007199996, 53.553387530499734), (10.023417593503448, 53.553401609012724)]"
7,"[[688.0, 642.48876953125], [696.4816455841064, 653.6426868438721], [1022.4772624969482, 708.1538963317871], [1019.1486053466797, 689.0310192108154], [971.518346786499, 677.2786922454834], [756.9842710494995, 637.1377611160278], [688.0, 642.48876953125]]","[(np.float64(567887.2124881719), np.float64(5934347.749385081)), (np.float64(567888.5343857759), np.float64(5934349.487766675)), (np.float64(567939.3420764105), np.float64(5934357.9835516615)), (np.float64(567938.8232921879), np.float64(5934355.003176545)), (np.float64(567931.399930289), np.float64(5934353.171530468)), (np.float64(567897.9639563521), np.float64(5934346.915409512)), (np.float64(567887.2124881719), np.float64(5934347.749385081))]","[(10.024747481355085, 53.55362278448438), (10.024767809206722, 53.55363823664347), (10.02553645552044, 53.553708016853484), (10.025527978209109, 53.55368129891365), (10.025415545198687, 53.55366579825178), (10.024909563530432, 53.553613899005896), (10.024747481355085, 53.55362278448438)]"
8,"[[119.0, 450.48876953125], [380.0563793182373, 516.2794218063354], [399.87982177734375, 533.9865417480469], [411.4833707809448, 518.3227519989014], [406.9757995605469, 503.38757705688477], [150.0, 441.49755859375], [119.0, 450.48876953125]]","[(np.float64(567798.5316149599), np.float64(5934317.825434893)), (np.float64(567839.2182716831), np.float64(5934328.079165109)), (np.float64(567842.307832645), np.float64(5934330.838888939)), (np.float64(567844.1162910949), np.float64(5934328.397626104)), (np.float64(567843.4137685081), np.float64(5934326.069920734)), (np.float64(567803.363086084), np.float64(5934316.424119538)), (np.float64(567798.5316149599), np.float64(5934317.825434893))]","[(10.023402601734581, 53.553365313378386), (10.024018874409267, 53.55345220926795), (10.024066101394695, 53.55347661208659), (10.024092865129774, 53.55345443837754), (10.024081757413557, 53.55343360971757), (10.023475214928478, 53.553352095567014), (10.023402601734581, 53.553365313378386)]"
9,"[[688.0, 617.9873046875], [692.5512256622314, 630.8939247131348], [952.2502593994141, 679.762321472168], [1022.9362735748291, 671.8128547668457], [751.0, 607.9970703125], [688.0, 617.9873046875]]","[(np.float64(567887.2124881719), np.float64(5934343.930736052)), (np.float64(567887.921814474), np.float64(5934345.942283212)), (np.float64(567928.396923585), np.float64(5934353.558613787)), (np.float64(567939.4136150804), np.float64(5934352.319658341)), (np.float64(567897.0312843272), np.float64(5934342.373718991)), (np.float64(567887.2124881719), np.float64(5934343.930736052))]","[(10.024746652112288, 53.55358846570571), (10.02475779422241, 53.55360645206004), (10.02537030729108, 53.55366966559996), (10.02553630429814, 53.55365710533936), (10.024894501063246, 53.55357320277012), (10.024746652112288, 53.55358846570571)]"
