polygon_id,image_coordinates,original_coordinates,geocoordinates
0,"[[253.0, 466.9970703125], [135.14617156982422, 525.1907615661621], [1.4320793151855469, 647.2838821411133], [1.3764381408691406, 670.6515274047852], [191.72467231750488, 511.32888889312744], [322.8223114013672, 481.3662452697754], [315.0, 467.49658203125], [253.0, 466.9970703125]]","[(np.float64(567032.7920838408), np.float64(5939532.888556104)), (np.float64(567008.7256874471), np.float64(5939544.772026162)), (np.float64(566981.4205384292), np.float64(5939569.704109199)), (np.float64(566981.4091761971), np.float64(5939574.4759101765)), (np.float64(567020.2793267687), np.float64(5939541.941355941)), (np.float64(567047.0501817379), np.float64(5939535.822820226)), (np.float64(567045.4528229638), np.float64(5939532.990559129)), (np.float64(567032.7920838408), np.float64(5939532.888556104))]","[(10.012965734513552, 53.60033220509613), (10.0126046720548, 53.600442080802445), (10.012197477143868, 53.60066963876181), (10.012198330768072, 53.60071252494146), (10.01277862674037, 53.600415163905936), (10.013181789750771, 53.60035675182417), (10.013157046279737, 53.60033150231903), (10.012965734513552, 53.60033220509613)]"
1,"[[469.0, 2.9970703125], [445.40340423583984, 82.82353210449219], [459.44915771484375, 123.96124267578125], [501.9272155761719, 9.010833740234375], [469.0, 2.9970703125]]","[(np.float64(567076.9004653017), np.float64(5939438.137218151)), (np.float64(567072.0819113798), np.float64(5939454.438218278)), (np.float64(567074.9501310666), np.float64(5939462.838763788)), (np.float64(567083.6243828252), np.float64(5939439.365261537)), (np.float64(567076.9004653017), np.float64(5939438.137218151))]","[(10.01361177664578, 53.599475020703636), (10.01354248211102, 53.59962213631329), (10.01358762441748, 53.599697265903345), (10.013713629809828, 53.59948519668236), (10.01361177664578, 53.599475020703636)]"
2,"[[4.0, 211.990234375], [327.35362911224365, 278.7811288833618], [341.8074245452881, 267.28030014038086], [240.46771621704102, 232.1450309753418], [73.0, 204.49755859375], [4.0, 211.990234375]]","[(np.float64(566981.9449218789), np.float64(5939480.814765388)), (np.float64(567047.9755015996), np.float64(5939494.453831375)), (np.float64(567050.9270456852), np.float64(5939492.105299239)), (np.float64(567030.2329229441), np.float64(5939484.930485095)), (np.float64(566996.03509929), np.float64(5939479.284720011)), (np.float64(566981.9449218789), np.float64(5939480.814765388))]","[(10.012186301123677, 53.59987071286758), (10.013186872990664, 53.599984845639746), (10.01323096208399, 53.59996336151573), (10.012916756707632, 53.59990152773397), (10.012398857111263, 53.59985516121406), (10.012186301123677, 53.59987071286758)]"
3,"[[407.0, 556.9912109375], [375.03291606903076, 700.7428598403931], [392.5554504394531, 712.9385833740234], [418.85232734680176, 669.583137512207], [434.7619905471802, 570.8463668823242], [407.0, 556.9912109375]]","[(np.float64(567064.2397261787), np.float64(5939551.265851863)), (np.float64(567057.7118727888), np.float64(5939580.620724851)), (np.float64(567061.2900701507), np.float64(5939583.111158304)), (np.float64(567066.6600362519), np.float64(5939574.257739116)), (np.float64(567069.9088764989), np.float64(5939554.095150491)), (np.float64(567064.2397261787), np.float64(5939551.265851863))]","[(10.013444827198146, 53.600493340756415), (10.013352512668277, 53.60075799158857), (10.01340711157931, 53.6007799155446), (10.013486341981134, 53.60069966171294), (10.01353109084902, 53.60051804250877), (10.013444827198146, 53.600493340756415)]"
4,"[[530.0, 9.49462890625], [509.2687702178955, 104.38244438171387], [518.7216157913208, 123.91562080383301], [531.6426868438721, 118.57174682617188], [552.896354675293, 12.877494812011719], [530.0, 9.49462890625]]","[(np.float64(567089.3569989551), np.float64(5939439.464055155)), (np.float64(567085.1235684394), np.float64(5939458.840666086)), (np.float64(567087.05389121), np.float64(5939462.829447553)), (np.float64(567089.6924445936), np.float64(5939461.738199257)), (np.float64(567094.0325598166), np.float64(5939440.154854877)), (np.float64(567089.3569989551), np.float64(5939439.464055155))]","[(10.013800262837716, 53.599485350772554), (10.013740471190497, 53.59966003245522), (10.013770494125302, 53.5996956330016), (10.01381012431744, 53.599685488081235), (10.013871052653654, 53.599490960545836), (10.013800262837716, 53.599485350772554)]"
5,"[[244.0, 517.49951171875], [136.16123867034912, 560.0933675765991], [6.214369773864746, 671.6069231033325], [6.574892044067383, 698.008451461792], [175.7848834991455, 564.3078517913818], [314.60490131378174, 551.3011960983276], [313.28129291534424, 528.1759767532349], [282.3561201095581, 542.7646780014038], [244.0, 517.49951171875]]","[(np.float64(567030.9542346132), np.float64(5939543.201430874)), (np.float64(567008.9329697012), np.float64(5939551.899329217)), (np.float64(566982.3971082987), np.float64(5939574.671007204)), (np.float64(566982.4707289182), np.float64(5939580.062343704)), (np.float64(567017.0243347058), np.float64(5939552.759949946)), (np.float64(567045.372141651), np.float64(5939550.10391971)), (np.float64(567045.1018535763), np.float64(5939545.381623431)), (np.float64(567038.7867641371), np.float64(5939548.360716023)), (np.float64(567030.9542346132), np.float64(5939543.201430874))]","[(10.012940184114182, 53.60042512314042), (10.01260933589241, 53.60050610819138), (10.01221329939304, 53.600714152036446), (10.012215570164923, 53.60076259519143), (10.012731773040976, 53.600512808083984), (10.013159507797042, 53.60048531235364), (10.0131544084166, 53.60044290711859), (10.013059634761333, 53.600470488389995), (10.012940184114182, 53.60042512314042)]"
6,"[[506.0, 6.49755859375], [490.1390504837036, 34.46713733673096], [500.2387504577637, 114.92427730560303], [533.9534912109375, 13.8681640625], [506.0, 6.49755859375]]","[(np.float64(567084.4560676817), np.float64(5939438.852037005)), (np.float64(567081.2171750354), np.float64(5939444.56357797)), (np.float64(567083.2795890126), np.float64(5939460.99336603)), (np.float64(567090.1643234849), np.float64(5939440.357154957)), (np.float64(567084.4560676817), np.float64(5939438.852037005))]","[(10.013726084962661, 53.59948047782294), (10.013678378809, 53.59953222264729), (10.013713074355362, 53.59967961503718), (10.013812652570156, 53.599493273818226), (10.013726084962661, 53.59948047782294)]"
7,"[[724.50048828125, 343.49951171875], [754.3786134719849, 362.813437461853], [1022.3139896392822, 436.95198822021484], [1021.9652395248413, 418.2870750427246], [1002.6384239196777, 410.2130947113037], [724.50048828125, 343.49951171875]]","[(np.float64(567129.0750625266), np.float64(5939507.669679142)), (np.float64(567135.1763391157), np.float64(5939511.6136884205)), (np.float64(567189.8902084624), np.float64(5939526.753186002)), (np.float64(567189.8189917814), np.float64(5939522.941708639)), (np.float64(567185.8723503224), np.float64(5939521.292957693)), (np.float64(567129.0750625266), np.float64(5939507.669679142))]","[(10.014415033387737, 53.60009323661758), (10.014508065748307, 53.600127900346955), (10.015337990542415, 53.60025694912527), (10.015336093057929, 53.60022270409794), (10.015276108513602, 53.60020839254518), (10.014415033387737, 53.60009323661758)]"
8.0,"[[464.29756355285645, 78.1514482498169], [466.0878572463989, 106.01756000518799], [482.4362545013428, 114.99782752990723], [514.9605007171631, 10.689791679382324], [490.0, 7.99609375], [464.29756355285645, 78.1514482498169]]","[(np.float64(567075.9402020582), np.float64(5939453.4841532)), (np.float64(567076.3057898228), np.float64(5939459.17456564)), (np.float64(567079.6442219636), np.float64(5939461.008385388)), (np.float64(567086.2858509396), np.float64(5939439.708113931)), (np.float64(567081.188780166), np.float64(5939439.15804608)), (np.float64(567075.9402020582), np.float64(5939453.4841532))]","[(10.013600570377307, 53.59961306824748), (10.013607318240497, 53.59966416184078), (10.013658152049224, 53.59968021531603), (10.01375391462787, 53.59948793727349), (10.01367678669113, 53.599483646153566), (10.013600570377307, 53.59961306824748)]"
8.1,"[[510.3444232940674, 91.4536304473877], [513.9956207275391, 91.11216735839844], [515.0, 86.9951171875], [510.3444232940674, 91.4536304473877]]","[(np.float64(567085.3432226811), np.float64(5939456.200531564)), (np.float64(567086.088817168), np.float64(5939456.130802933)), (np.float64(567086.2939169091), np.float64(5939455.290078769)), (np.float64(567085.3432226811), np.float64(5939456.200531564))]","[(10.01374322175198, 53.59963627715239), (10.01375447167169, 53.599635555057226), (10.013757389537249, 53.59962797312124), (10.01374322175198, 53.59963627715239)]"
