polygon_id,image_coordinates,original_coordinates,geocoordinates
0,"[[722.0, 7.99609375], [648.2728900909424, 204.34120559692383], [661.4403686523438, 221.85914611816406], [682.8269052505493, 214.74585247039795], [760.8398685455322, 13.057865142822266], [722.0, 7.99609375]]","[(np.float64(567378.4028036348), np.float64(5937968.916793688)), (np.float64(567371.8102823528), np.float64(5937986.473555781)), (np.float64(567372.9876902663), np.float64(5937988.039972745)), (np.float64(567374.9000288598), np.float64(5937987.403917164)), (np.float64(567381.8757820316), np.float64(5937969.369406515)), (np.float64(567378.4028036348), np.float64(5937968.916793688))]","[(10.017849640721085, 53.58623229936961), (10.017753859335398, 53.58639093120232), (10.017771981038411, 53.586404857502956), (10.017800727476152, 53.5863988954812), (10.017902193804733, 53.586235920781405), (10.017849640721085, 53.58623229936961)]"
1,"[[16.0, 18.48583984375], [18.263669967651367, 32.74984645843506], [295.2229423522949, 221.86069679260254], [334.6331958770752, 196.62797927856445], [57.0, 6.49755859375], [16.0, 18.48583984375]]","[(np.float64(567315.2737859532), np.float64(5937969.854764462)), (np.float64(567315.4761985048), np.float64(5937971.130221581)), (np.float64(567340.2413072916), np.float64(5937988.040111403)), (np.float64(567343.7652882994), np.float64(5937985.783855497)), (np.float64(567318.939918708), np.float64(5937968.782797863)), (np.float64(567315.2737859532), np.float64(5937969.854764462))]","[(10.016896351783819, 53.586248837046924), (10.016899684174172, 53.586260273753915), (10.017277382596578, 53.586409065189024), (10.017330121503978, 53.586388335364425), (10.016951493243415, 53.58623873249527), (10.016896351783819, 53.586248837046924)]"
2,"[[544.0, 1.998046875], [484.599627494812, 141.64502334594727], [486.88747692108154, 164.44292831420898], [514.5544719696045, 173.96739292144775], [597.9959774017334, 3.751654624938965], [544.0, 1.998046875]]","[(np.float64(567362.4864224063), np.float64(5937968.3804611)), (np.float64(567357.1749674967), np.float64(5937980.867396577)), (np.float64(567357.379542124), np.float64(5937982.905936726)), (np.float64(567359.8534659478), np.float64(5937983.757594084)), (np.float64(567367.3146278058), np.float64(5937968.537264973)), (np.float64(567362.4864224063), np.float64(5937968.3804611))]","[(10.01760912631315, 53.58622952423016), (10.017531598634934, 53.586342428162396), (10.017535128598695, 53.58636072249366), (10.017572678351454, 53.58636805864553), (10.01768208464814, 53.586230313165856), (10.01760912631315, 53.58622952423016)]"
3,"[[684.0, 7.49658203125], [612.3598499298096, 186.6960563659668], [639.5712747573853, 210.86377239227295], [720.8146286010742, 13.235153198242188], [684.0, 7.49658203125]]","[(np.float64(567375.0049244962), np.float64(5937968.872128413)), (np.float64(567368.599014722), np.float64(5937984.8957640845)), (np.float64(567371.0322024261), np.float64(5937987.056789824)), (np.float64(567378.2968102467), np.float64(5937969.385259235)), (np.float64(567375.0049244962), np.float64(5937968.872128413))]","[(10.017798310026198, 53.586232334559654), (10.017705015974506, 53.586377163982526), (10.017742233227912, 53.58639627276799), (10.017848140978732, 53.58623652314626), (10.017798310026198, 53.586232334559654)]"
4,"[[394.0, 564.49560546875], [304.95416831970215, 788.1864538192749], [312.2020149230957, 807.1338558197021], [357.7660160064697, 794.8003921508789], [429.71691608428955, 589.724217414856], [394.0, 564.49560546875]]","[(np.float64(567349.0737415957), np.float64(5938018.677795834)), (np.float64(567341.1114528101), np.float64(5938038.679755495)), (np.float64(567341.7595398305), np.float64(5938040.373991863)), (np.float64(567345.8337758504), np.float64(5938039.271159787)), (np.float64(567352.267472229), np.float64(5938020.933684629)), (np.float64(567349.0737415957), np.float64(5938018.677795834))]","[(10.017417400410855, 53.58668327544451), (10.017301455114511, 53.58686405813916), (10.01731160955761, 53.586879201216014), (10.017372909094943, 53.58686876666361), (10.017466125538343, 53.58670313917389), (10.017417400410855, 53.58668327544451)]"
5,"[[591.0, 7.49658203125], [516.1382274627686, 169.24711418151855], [546.4298915863037, 186.76131629943848], [634.9972820281982, 7.997087478637695], [591.0, 7.49658203125]]","[(np.float64(567366.6890623936), np.float64(5937968.872128413)), (np.float64(567359.9950819939), np.float64(5937983.335516804)), (np.float64(567362.7036981413), np.float64(5937984.901599488)), (np.float64(567370.6232057294), np.float64(5937968.916882545)), (np.float64(567366.6890623936), np.float64(5937968.872128413))]","[(10.017672708504982, 53.5862334029935), (10.017574726181678, 53.58636424719318), (10.017615974959826, 53.586377973810286), (10.01773213887445, 53.586233299756415), (10.017672708504982, 53.5862334029935)]"
6,"[[333.0, 520.9951171875], [235.4044189453125, 760.38037109375], [237.15031242370605, 802.9421768188477], [269.87621784210205, 789.7475528717041], [366.7046546936035, 541.2704906463623], [355.0, 518.49755859375], [333.0, 520.9951171875]]","[(np.float64(567343.6192513994), np.float64(5938014.788074737)), (np.float64(567334.8924622181), np.float64(5938036.193394748)), (np.float64(567335.0485762978), np.float64(5938039.999180847)), (np.float64(567337.9748571218), np.float64(5938038.81934565)), (np.float64(567346.633049901), np.float64(5938016.601055488)), (np.float64(567345.586444585), np.float64(5938014.564748363)), (np.float64(567343.6192513994), np.float64(5938014.788074737))]","[(10.017334176152588, 53.586649018601406), (10.01720698640204, 53.58684251156369), (10.017210165726768, 53.586876694582685), (10.01725410986341, 53.58686571546929), (10.017380087901937, 53.586664925006346), (10.017363840430393, 53.58664675888675), (10.017334176152588, 53.586649018601406)]"
7,"[[642.0, 6.49755859375], [580.8540201187134, 157.10792922973633], [581.935564994812, 188.8171501159668], [604.4134063720703, 198.91121673583984], [682.8948907852173, 10.827095031738281], [642.0, 6.49755859375]]","[(np.float64(567371.2493738692), np.float64(5937968.782797863)), (np.float64(567365.7818304625), np.float64(5937982.250056717)), (np.float64(567365.8785399039), np.float64(5937985.085427774)), (np.float64(567367.8884606486), np.float64(5937985.988017731)), (np.float64(567374.9061079817), np.float64(5937969.169935798)), (np.float64(567371.2493738692), np.float64(5937968.782797863))]","[(10.01774156747054, 53.58623201426992), (10.01766189426273, 53.58635374862535), (10.017663967145156, 53.586379218026885), (10.017694519675777, 53.58638707148931), (10.017796881825172, 53.586235023687806), (10.01774156747054, 53.58623201426992)]"
8,"[[17.0, 25.49755859375], [6.149462699890137, 75.85973834991455], [183.35004425048828, 191.36968231201172], [278.51502227783203, 273.51513671875], [308.5332489013672, 318.53123474121094], [323.5610046386719, 315.43304443359375], [347.6758460998535, 267.00152587890625], [338.85126399993896, 237.10332584381104], [295.84228515625, 222.78370571136475], [17.0, 25.49755859375]]","[(np.float64(567315.3632038252), np.float64(5937970.481737432)), (np.float64(567314.3929718691), np.float64(5937974.985016379)), (np.float64(567330.2378708009), np.float64(5937985.313669771)), (np.float64(567338.7473206318), np.float64(5937992.658941505)), (np.float64(567341.4314865797), np.float64(5937996.6841851985)), (np.float64(567342.7752365198), np.float64(5937996.407151613)), (np.float64(567344.9315343285), np.float64(5937992.076508284)), (np.float64(567344.1424589752), np.float64(5937989.403074858)), (np.float64(567340.2966876072), np.float64(5937988.122644897)), (np.float64(567315.3632038252), np.float64(5937970.481737432))]","[(10.016897837607848, 53.58625446025196), (10.016884154928126, 53.586295056333675), (10.017125703187892, 53.586385846905905), (10.017255814418904, 53.586450767045605), (10.01729722466123, 53.586486597695085), (10.01731746078587, 53.586483935385345), (10.017349094621268, 53.58644473842585), (10.017336599440517, 53.58642081329365), (10.017278236869405, 53.58640979981553), (10.016897837607848, 53.58625446025196)]"
9,"[[362.0, 544.49658203125], [267.0115385055542, 778.351972579956], [268.1268844604492, 797.9337005615234], [314.7633361816406, 781.8052978515625], [395.69672870635986, 566.1564950942993], [385.0, 543.9970703125], [362.0, 544.49658203125]]","[(np.float64(567346.2123696895), np.float64(5938016.889525714)), (np.float64(567337.7187035914), np.float64(5938037.80037711)), (np.float64(567337.8184354533), np.float64(5938039.551333557)), (np.float64(567341.9885677272), np.float64(5938038.109166107)), (np.float64(567349.2254594661), np.float64(5938018.82630905)), (np.float64(567348.2689807471), np.float64(5938016.84486044)), (np.float64(567346.2123696895), np.float64(5938016.889525714))]","[(10.01737379621366, 53.58666757155446), (10.017250020977787, 53.58685659076974), (10.017251905243231, 53.58687231402221), (10.017314579966804, 53.586858817535955), (10.01741972401779, 53.58668459066399), (10.017404849635984, 53.58666690599425), (10.01737379621366, 53.58666757155446)]"
