polygon_id,image_coordinates,original_coordinates,geocoordinates
0,"[[996.0, 96.49658203125], [864.1429347991943, 184.10826683044434], [873.9918794631958, 200.62744140625], [860.2507638931274, 214.69900608062744], [760.1560764312744, 242.3457317352295], [685.062313079834, 293.3892478942871], [696.3702354431152, 346.5176753997803], [1021.5937042236328, 168.96173095703125], [1023.0, 130.962890625], [996.0, 96.49658203125]]","[(np.float64(567787.7478748007), np.float64(5935879.932372551)), (np.float64(567775.7657115419), np.float64(5935887.8938534865)), (np.float64(567776.660708429), np.float64(5935889.394989936)), (np.float64(567775.4120207696), np.float64(5935890.673706287)), (np.float64(567766.3161798702), np.float64(5935893.18602961)), (np.float64(567759.4922320534), np.float64(5935897.824474604)), (np.float64(567760.5198096934), np.float64(5935902.652380421)), (np.float64(567790.0736352137), np.float64(5935886.517451961)), (np.float64(567790.2014286357), np.float64(5935883.064407501)), (np.float64(567787.7478748007), np.float64(5935879.932372551))]","[(10.023578714257482, 53.567405588013955), (10.023399545664514, 53.56747868673171), (10.023413383278559, 53.56749206204347), (10.023394809116237, 53.5675037153277), (10.023258032903264, 53.56752746870247), (10.023156016900725, 53.567570036288565), (10.023172577749882, 53.56761329263324), (10.023615255653787, 53.567464468540095), (10.023616435567277, 53.5674334190565), (10.023578714257482, 53.567405588013955)]"
1,"[[416.0, 504.49951171875], [371.62863636016846, 575.3522691726685], [208.16179370880127, 778.9070539474487], [274.70316314697266, 787.3412075042725], [456.7219514846802, 535.8894319534302], [416.0, 504.49951171875]]","[(np.float64(567735.0419035312), np.float64(5935917.0085633965)), (np.float64(567731.0097728119), np.float64(5935923.44712098)), (np.float64(567716.1551543424), np.float64(5935941.944625529)), (np.float64(567722.2019259043), np.float64(5935942.711057004)), (np.float64(567738.7424035398), np.float64(5935919.861039662)), (np.float64(567735.0419035312), np.float64(5935917.0085633965))]","[(10.022791046141034, 53.56774560312963), (10.022731568248748, 53.56780398781206), (10.022511314387497, 53.56797214466223), (10.022602770599667, 53.56797825228943), (10.022847532069978, 53.56777076101335), (10.022791046141034, 53.56774560312963)]"
2,"[[125.0, 35.9873046875], [360.11707305908203, 306.86681365966797], [381.86681365966797, 309.88292694091797], [394.5262145996094, 290.4795837402344], [163.0, 25.49755859375], [125.0, 35.9873046875]]","[(np.float64(567708.5980455321), np.float64(5935874.43375146)), (np.float64(567729.9636898384), np.float64(5935899.049212869)), (np.float64(567731.9401401888), np.float64(5935899.323294214)), (np.float64(567733.0905298823), np.float64(5935897.560066543)), (np.float64(567712.051195374), np.float64(5935873.480523432)), (np.float64(567708.5980455321), np.float64(5935874.43375146))]","[(10.022382588119427, 53.56736639039771), (10.022710484907387, 53.5675848555168), (10.022740383166656, 53.56758706360161), (10.022757368460878, 53.567571068737635), (10.02243451404539, 53.56735737801058), (10.022382588119427, 53.56736639039771)]"
3,"[[164.0, 29.49365234375], [366.53312397003174, 246.53539371490479], [398.05521869659424, 296.48052883148193], [418.8398685455322, 261.18842697143555], [230.54344654083252, 39.54640769958496], [215.0, 26.49658203125], [164.0, 29.49365234375]]","[(np.float64(567712.1420677382), np.float64(5935873.843657919)), (np.float64(567730.5467315539), np.float64(5935893.5667541)), (np.float64(567733.411218828), np.float64(5935898.105386611)), (np.float64(567735.2999691002), np.float64(5935894.898309875)), (np.float64(567718.1890280512), np.float64(5935874.757175566)), (np.float64(567716.7765583154), np.float64(5935873.571307054)), (np.float64(567712.1420677382), np.float64(5935873.843657919))]","[(10.022435964673114, 53.56736062982365), (10.022718098395579, 53.56753550865313), (10.022762328208508, 53.56757592820729), (10.022790147544805, 53.567546861958355), (10.022527454291696, 53.567368059374544), (10.022505873004757, 53.56735758409626), (10.022435964673114, 53.56736062982365)]"
4,"[[359.0, 467.49658203125], [158.7607879638672, 751.8478927612305], [160.2147455215454, 781.6286478042603], [203.45862579345703, 788.1390705108643], [326.6485605239868, 627.3122577667236], [343.2214632034302, 561.8904085159302], [394.9287691116333, 490.4186315536499], [379.0, 466.9970703125], [359.0, 467.49658203125]]","[(np.float64(567729.8621787685), np.float64(5935913.646019692)), (np.float64(567711.6659681536), np.float64(5935939.485695577)), (np.float64(567711.7980927145), np.float64(5935942.1919431975)), (np.float64(567715.7277663545), np.float64(5935942.783560701)), (np.float64(567726.9223269762), np.float64(5935928.168847991)), (np.float64(567728.4283458253), np.float64(5935922.223809876)), (np.float64(567733.1271109625), np.float64(5935915.729000526)), (np.float64(567731.6796260537), np.float64(5935913.600627881)), (np.float64(567729.8621787685), np.float64(5935913.646019692))]","[(10.022712117483543, 53.5677160521126), (10.022443006659353, 53.5679506252525), (10.022445588050331, 53.56797492961944), (10.022505043851211, 53.56797973944315), (10.022670882827153, 53.56784695021481), (10.022692330524357, 53.5677933269576), (10.022761860593635, 53.567734350699666), (10.022739546054764, 53.567715409572344), (10.022712117483543, 53.5677160521126)]"
5,"[[644.0, 525.49951171875], [632.8302822113037, 554.0418910980225], [837.1133232116699, 789.8627510070801], [877.4614105224609, 782.8229598999023], [698.7919750213623, 567.1260108947754], [644.0, 525.49951171875]]","[(np.float64(567755.760802582), np.float64(5935918.916883046)), (np.float64(567754.7457839184), np.float64(5935921.510596542)), (np.float64(567773.309466832), np.float64(5935942.940195623)), (np.float64(567776.9759929192), np.float64(5935942.300473161)), (np.float64(567760.7398788945), np.float64(5935922.6995814415)), (np.float64(567755.760802582), np.float64(5935918.916883046))]","[(10.023104258201313, 53.56776007846009), (10.023089496840095, 53.567783519580814), (10.023374407111858, 53.56797371286167), (10.023429622999078, 53.56796748999709), (10.023180249117932, 53.5677934311148), (10.023104258201313, 53.56776007846009)]"
6,"[[228.0, 38.984375], [344.11425495147705, 186.86377239227295], [422.41455078125, 251.5817985534668], [440.91203784942627, 232.16852855682373], [260.0, 26.49658203125], [228.0, 38.984375]]","[(np.float64(567717.9578990508), np.float64(5935874.706102326)), (np.float64(567728.5094759222), np.float64(5935888.144252791)), (np.float64(567735.6248089264), np.float64(5935894.025332838)), (np.float64(567737.305719309), np.float64(5935892.261203096)), (np.float64(567720.865814707), np.float64(5935873.571307054)), (np.float64(567717.9578990508), np.float64(5935874.706102326))]","[(10.022523953840782, 53.56736763020071), (10.022686165857676, 53.567487038857514), (10.022794862398348, 53.56753897446149), (10.0228198568118, 53.56752290299683), (10.02256760891783, 53.56735705635106), (10.022523953840782, 53.56736763020071)]"
7,"[[680.0, 466.9970703125], [663.9941482543945, 489.6169328689575], [843.5582551956177, 679.5636653900146], [900.4621696472168, 771.4599380493164], [959.4206123352051, 780.2744598388672], [960.9822435379028, 754.8112602233887], [736.7944869995117, 498.12879943847656], [703.0, 467.49658203125], [680.0, 466.9970703125]]","[(np.float64(567759.0322076953), np.float64(5935913.600627881)), (np.float64(567757.5777181052), np.float64(5935915.656148271)), (np.float64(567773.8951330387), np.float64(5935932.917056938)), (np.float64(567779.0661262806), np.float64(5935941.2678885)), (np.float64(567784.4238193606), np.float64(5935942.068884935)), (np.float64(567784.56572848), np.float64(5935939.754983785)), (np.float64(567764.1932570058), np.float64(5935916.42964171)), (np.float64(567761.1222720732), np.float64(5935913.646019692)), (np.float64(567759.0322076953), np.float64(5935913.600627881))]","[(10.023152494136014, 53.56771187811462), (10.023130981275745, 53.56773053917718), (10.02338107427715, 53.56788355792408), (10.023460954328856, 53.567957940033516), (10.023542014906258, 53.5679644465927), (10.023543655201987, 53.567943632921626), (10.023231025393699, 53.567736636346666), (10.02318405815187, 53.56771201615274), (10.023152494136014, 53.56771187811462)]"
8,"[[618.0, 543.9970703125], [593.3093528747559, 573.1938667297363], [783.5163726806641, 779.515983581543], [808.5230655670166, 801.7022342681885], [832.3862361907959, 801.162073135376], [821.8043823242188, 765.1402587890625], [618.0, 543.9970703125]]","[(np.float64(567753.3981211113), np.float64(5935920.597799929)), (np.float64(567751.154423632), np.float64(5935923.250981848)), (np.float64(567768.4389852202), np.float64(5935941.999960405)), (np.float64(567770.711402525), np.float64(5935944.016077459)), (np.float64(567772.8799052583), np.float64(5935943.966991739)), (np.float64(567771.9183071792), np.float64(5935940.693604304)), (np.float64(567753.3981211113), np.float64(5935920.597799929))]","[(10.023068952841554, 53.56777549017219), (10.023035654677138, 53.56779962438806), (10.023300671915631, 53.56796589190619), (10.023335416749248, 53.56798371752397), (10.02336814467689, 53.56798299629935), (10.023352916882752, 53.56795370212916), (10.023068952841554, 53.56777549017219)]"
