polygon_id,image_coordinates,original_coordinates,geocoordinates
0,"[[548.0, 544.49658203125], [523.1967945098877, 577.3290023803711], [524.2911472320557, 603.4897079467773], [712.6599292755127, 699.9231815338135], [723.3886585235596, 636.3897285461426], [548.0, 544.49658203125]]","[(np.float64(561514.1562567849), np.float64(5934552.043336854)), (np.float64(561511.8743231007), np.float64(5934555.063970859)), (np.float64(561511.9750052621), np.float64(5934557.470796674)), (np.float64(561529.3052277202), np.float64(5934566.342827015)), (np.float64(561530.2922875851), np.float64(5934560.497650007)), (np.float64(561514.1562567849), np.float64(5934552.043336854))]","[(9.928601936749946, 53.55624430671078), (9.928568088681015, 53.55627172177687), (9.928570081988633, 53.55629334109766), (9.928833403603786, 53.556371046557196), (9.928847151245485, 53.55631839788877), (9.928601936749946, 53.55624430671078)]"
1,"[[236.0, 590.49560546875], [164.74634552001953, 931.8354721069336], [166.37900733947754, 970.3330554962158], [185.90957260131836, 981.7312297821045], [200.83003616333008, 978.218729019165], [296.9057865142822, 613.0392112731934], [270.0, 588.49755859375], [236.0, 590.49560546875]]","[(np.float64(561485.4517689804), np.float64(5934556.275318929)), (np.float64(561478.8963213648), np.float64(5934587.679120337)), (np.float64(561479.0465288048), np.float64(5934591.220958198)), (np.float64(561480.8433713445), np.float64(5934592.269608053)), (np.float64(561482.2160773199), np.float64(5934591.946452492)), (np.float64(561491.0551965644), np.float64(5934558.34936591)), (np.float64(561488.5798221385), np.float64(5934556.0914954925)), (np.float64(561485.4517689804), np.float64(5934556.275318929))]","[(9.928169516115231, 53.55628570421332), (9.928076747800633, 53.5565687107382), (9.928079711643395, 53.55660052508077), (9.928107038905406, 53.55660973927343), (9.928127694548152, 53.55660667416542), (9.9282544999338, 53.55630368815154), (9.928216693480014, 53.55628368571666), (9.928169516115231, 53.55628570421332)]"
2,"[[10.0, 209.966796875], [12.167611122131348, 243.83884811401367], [218.14059448242188, 417.8906555175781], [235.85654258728027, 362.1731414794922], [226.874755859375, 341.124755859375], [36.0, 178.9970703125], [10.0, 209.966796875]]","[(np.float64(561464.6594156347), np.float64(5934521.266073591)), (np.float64(561464.858839247), np.float64(5934524.382355263)), (np.float64(561483.80867575), np.float64(5934540.395393671)), (np.float64(561485.4385706742), np.float64(5934535.269295266)), (np.float64(561484.6122322524), np.float64(5934533.33281088)), (np.float64(561467.0514562851), np.float64(5934518.416810327)), (np.float64(561464.6594156347), np.float64(5934521.266073591))]","[(9.927848800679955, 53.55597349688179), (9.927852423466097, 53.556001480824456), (9.928141592289508, 53.556143177325936), (9.928165184808883, 53.55609691608858), (9.928152331538982, 53.556079608904476), (9.927884344575734, 53.555947609302734), (9.927848800679955, 53.55597349688179)]"
3,"[[420.0, 26.99609375], [375.00397205352783, 198.5962314605713], [422.678373336792, 226.99879837036133], [475.0, 26.99609375], [420.0, 26.99609375]]","[(np.float64(561502.38005666), np.float64(5934504.432482833)), (np.float64(561498.2403517388), np.float64(5934520.2199637955)), (np.float64(561502.6264711946), np.float64(5934522.833044358)), (np.float64(561507.4401426512), np.float64(5934504.432482833)), (np.float64(561502.38005666), np.float64(5934504.432482833))]","[(9.928414823868382, 53.55581778850348), (9.928355447731812, 53.555960162006016), (9.928422163629596, 53.555983132953145), (9.928491197842611, 53.55581719563392), (9.928414823868382, 53.55581778850348)]"
4,"[[362.0, 14.49560546875], [330.0323839187622, 204.6059980392456], [368.9306116104126, 227.99319076538086], [420.0, 15.994140625], [362.0, 14.49560546875]]","[(np.float64(561497.0439659784), np.float64(5934503.282418367)), (np.float64(561494.1028953183), np.float64(5934520.772871717)), (np.float64(561497.6815930824), np.float64(5934522.9245300125)), (np.float64(561502.38005666), np.float64(5934503.420285944)), (np.float64(561497.0439659784), np.float64(5934503.282418367))]","[(9.92833405777123, 53.55580807756169), (9.928293107951623, 53.555965615916676), (9.928347546241676, 53.555984534501704), (9.92841462470871, 53.555808691478774), (9.92833405777123, 53.55580807756169)]"
5,"[[490.0, 476.46923828125], [511.1537342071533, 525.8152227401733], [653.2456245422363, 602.8727931976318], [720.0048770904541, 630.9999942779541], [737.7706756591797, 602.6402359008789], [736.6866760253906, 583.3672180175781], [513.0, 447.9970703125], [490.0, 476.46923828125]]","[(np.float64(561508.8201661033), np.float64(5934545.78471487)), (np.float64(561510.7663427237), np.float64(5934550.324622592)), (np.float64(561523.8390187919), np.float64(5934557.414039552)), (np.float64(561529.9809744029), np.float64(5934560.001786027)), (np.float64(561531.6154556476), np.float64(5934557.392643917)), (np.float64(561531.5157259864), np.float64(5934555.619496139)), (np.float64(561510.9362020633), np.float64(5934543.165230902)), (np.float64(561508.8201661033), np.float64(5934545.78471487))]","[(9.928520164509843, 53.55618868322208), (9.928550432630612, 53.556229257166365), (9.928749141284056, 53.55629144062285), (9.928842354798839, 53.55631397784954), (9.928866511353956, 53.556290336844704), (9.92886465701693, 53.55627441253866), (9.928551587503817, 53.55616489290708), (9.928520164509843, 53.55618868322208)]"
6,"[[23.0, 150.974609375], [25.051010131835938, 176.76910400390625], [157.42594814300537, 295.88680362701416], [199.7640838623047, 257.6005401611328], [199.4645700454712, 242.39770793914795], [62.0, 127.9970703125], [23.0, 150.974609375]]","[(np.float64(561465.8554359599), np.float64(5934515.838700108)), (np.float64(561466.0441320988), np.float64(5934518.211833943)), (np.float64(561478.2228333609), np.float64(5934529.170848546)), (np.float64(561482.1180080418), np.float64(5934525.648452448)), (np.float64(561482.0904523022), np.float64(5934524.249768114)), (np.float64(561469.4434969355), np.float64(5934513.724730589)), (np.float64(561465.8554359599), np.float64(5934515.838700108))]","[(9.927865785516108, 53.555924578821426), (9.927869100257704, 53.555945885047436), (9.928055074490514, 53.55604295199663), (9.928113173447525, 53.55601083858834), (9.928112482418152, 53.555998271270695), (9.927919526027946, 53.55590515957074), (9.927865785516108, 53.555924578821426)]"
